loan_id,risk_customer_id,loan_type,original_amount,outstanding_amount,monthly_payment,status,payment_status
LN-90048,RISK-15072,MORTGAGE,4458000.0,3429000.0,41100.0,ACTIVE,CURRENT
LN-90049,RISK-15075,MORTGAGE,4793000.0,3687000.0,44200.0,ACTIVE,CURRENT
LN-90050,RISK-15076,MORTGAGE,6829000.0,5253000.0,63000.0,ACTIVE,CURRENT
LN-90051,RISK-15078,MORTGAGE,4640000.0,3569000.0,42800.0,ACTIVE,CURRENT
LN-90052,RISK-15082,MORTGAGE,6214000.0,4780000.0,57400.0,ACTIVE,CURRENT
LN-90053,RISK-15083,MORTGAGE,4320000.0,3323000.0,39900.0,ACTIVE,CURRENT
LN-90054,RISK-15085,MORTGAGE,6200000.0,4769000.0,57200.0,ACTIVE,CURRENT
LN-90055,RISK-15086,MORTGAGE,3628000.0,2791000.0,33500.0,ACTIVE,CURRENT
LN-90056,RISK-15088,MORTGAGE,7324000.0,5634000.0,67600.0,ACTIVE,CURRENT
LN-90057,RISK-15089,MORTGAGE,7612000.0,5855000.0,70300.0,ACTIVE,CURRENT
LN-90058,RISK-15090,MORTGAGE,5582000.0,4294000.0,51500.0,ACTIVE,CURRENT
LN-90059,RISK-15092,MORTGAGE,2643000.0,2033000.0,24400.0,ACTIVE,CURRENT
LN-90060,RISK-15093,MORTGAGE,5526000.0,4251000.0,51000.0,ACTIVE,CURRENT
LN-90061,RISK-15094,MORTGAGE,1578000.0,1214000.0,14600.0,ACTIVE,LATE
LN-90062,RISK-15096,MORTGAGE,7488000.0,5760000.0,69100.0,ACTIVE,CURRENT
LN-90063,RISK-15097,MORTGAGE,4774000.0,3672000.0,44100.0,ACTIVE,CURRENT
LN-90064,RISK-15099,MORTGAGE,2991000.0,2301000.0,27600.0,ACTIVE,CURRENT
