risk_customer_id,enterprise_customer_id,risk_rating,credit_score,total_exposure,delinquency_days,last_assessment
RISK-15058,ECID-00058,MEDIUM,671,1768000.0,0,2026-08-01
RISK-15059,ECID-00059,HIGH,578,3820000.0,0,2026-08-01
RISK-15060,ECID-00060,LOW,788,3439000.0,0,2026-08-01
RISK-15061,ECID-00061,LOW,752,851000.0,0,2026-08-01
RISK-15062,ECID-00062,MEDIUM,687,2335000.0,0,2026-08-01
RISK-15063,ECID-00063,MEDIUM,666,1369000.0,0,2026-08-01
RISK-15064,ECID-00064,MEDIUM,682,3373000.0,0,2026-08-01
RISK-15065,ECID-00065,LOW,804,408000.0,0,2026-08-01
RISK-15066,ECID-00066,LOW,817,806000.0,0,2026-08-01
RISK-15067,ECID-00067,LOW,767,4463000.0,0,2026-08-01
RISK-15068,ECID-00068,MEDIUM,731,3015000.0,0,2026-08-01
RISK-15069,ECID-00069,LOW,768,4258000.0,0,2026-08-01
RISK-15070,ECID-00070,MEDIUM,703,229000.0,60,2026-08-01
RISK-15071,ECID-00071,MEDIUM,666,592000.0,0,2026-08-01
RISK-15072,ECID-00072,MEDIUM,667,1181000.0,30,2026-08-01
RISK-15073,ECID-00073,HIGH,633,2141000.0,0,2026-08-01
RISK-15074,ECID-00074,MEDIUM,699,1830000.0,0,2026-08-01
RISK-15075,ECID-00075,MEDIUM,682,934000.0,0,2026-08-01
RISK-15076,ECID-00076,MEDIUM,695,470000.0,0,2026-08-01
RISK-15077,ECID-00077,MEDIUM,701,2483000.0,0,2026-08-01
RISK-15078,ECID-00078,MEDIUM,707,2060000.0,0,2026-08-01
RISK-15079,ECID-00079,HIGH,644,879000.0,0,2026-08-01
RISK-15080,ECID-00080,LOW,807,3418000.0,0,2026-08-01
RISK-15081,ECID-00081,LOW,807,1816000.0,0,2026-08-01
RISK-15082,ECID-00082,LOW,797,1348000.0,60,2026-08-01
RISK-15083,ECID-00083,MEDIUM,707,4685000.0,0,2026-08-01
RISK-15084,ECID-00084,LOW,746,1995000.0,0,2026-08-01
RISK-15085,ECID-00085,MEDIUM,738,4548000.0,0,2026-08-01
RISK-15086,ECID-00086,LOW,803,279000.0,0,2026-08-01
RISK-15087,ECID-00087,LOW,789,3251000.0,45,2026-08-01
RISK-15088,ECID-00088,LOW,801,503000.0,0,2026-08-01
RISK-15089,ECID-00089,LOW,785,1793000.0,0,2026-08-01
RISK-15090,ECID-00090,MEDIUM,737,2818000.0,0,2026-08-01
RISK-15091,ECID-00091,HIGH,645,3260000.0,0,2026-08-01
RISK-15092,ECID-00092,LOW,817,2360000.0,0,2026-08-01
RISK-15093,ECID-00093,HIGH,596,3531000.0,30,2026-08-01
RISK-15094,ECID-00094,LOW,762,1276000.0,30,2026-08-01
RISK-15095,ECID-00095,HIGH,600,3283000.0,0,2026-08-01
RISK-15096,ECID-00096,HIGH,601,4687000.0,0,2026-08-01
RISK-15097,ECID-00097,MEDIUM,681,3198000.0,45,2026-08-01
RISK-15098,ECID-00098,MEDIUM,716,2524000.0,0,2026-08-01
RISK-15099,ECID-00099,LOW,797,665000.0,0,2026-08-01
RISK-15100,ECID-00100,LOW,790,4840000.0,0,2026-08-01
