BUKRS,BELNR,GJAHR,BUZEI,BSCHL,HKONT,LIFNR,DMBTR,WRBTR,SHKZG,ZFBDT,AUGDT
2000,1900000018,2024,002,40,400000,,1845.32,1845.32,S,2025-02-27,
2000,1900000019,2025,001,31,200000,100000,497.28,497.28,H,2024-01-02,
2000,1900000019,2025,002,40,430000,,497.28,497.28,S,2024-01-02,
2000,1900000020,2024,001,31,200000,100026,24009.06,24009.06,H,2025-01-12,2025-02-24
2000,1900000020,2024,002,40,420000,,24009.06,24009.06,S,2025-01-12,2025-02-24
2000,1900000021,2025,001,31,200000,100021,17087.8,17087.8,H,2024-06-04,2024-07-24
2000,1900000021,2025,002,40,460000,,17087.8,17087.8,S,2024-06-04,2024-07-24
1000,1900000022,2025,001,31,200000,100013,3435.83,3435.83,H,2025-12-13,
1000,1900000022,2025,002,40,460000,,3435.83,3435.83,S,2025-12-13,
1000,1900000023,2025,001,31,200000,100009,20058.29,20058.29,H,2026-01-01,2026-03-10
1000,1900000023,2025,002,40,480000,,20058.29,20058.29,S,2026-01-01,2026-03-10
3000,1900000024,2025,001,31,200000,100032,10703.28,10703.28,H,2025-04-12,2025-06-03
3000,1900000024,2025,002,40,410000,,10703.28,10703.28,S,2025-04-12,2025-06-03
1000,1900000025,2025,001,31,200000,100015,2096.12,2096.12,H,2025-04-25,2025-05-10
1000,1900000025,2025,002,40,480000,,2096.12,2096.12,S,2025-04-25,2025-05-10
2000,1900000026,2025,001,31,200000,100013,16151.93,16151.93,H,2025-09-24,2025-10-04
2000,1900000026,2025,002,40,440000,,16151.93,16151.93,S,2025-09-24,2025-10-04
2000,1900000027,2024,001,31,200000,100042,9158.9,9158.9,H,2024-02-11,2024-03-27
2000,1900000027,2024,002,40,450000,,9158.9,9158.9,S,2024-02-11,2024-03-27
1000,1900000028,2025,001,31,200000,100024,16200.97,16200.97,H,2025-06-06,2025-07-09
1000,1900000028,2025,002,40,440000,,16200.97,16200.97,S,2025-06-06,2025-07-09
2000,1900000029,2025,001,31,200000,100010,12566.05,12566.05,H,2025-12-03,2026-01-28
2000,1900000029,2025,002,40,440000,,12566.05,12566.05,S,2025-12-03,2026-01-28
3000,1900000030,2025,001,31,200000,100018,15915.3,15915.3,H,2024-09-15,
3000,1900000030,2025,002,40,470000,,15915.3,15915.3,S,2024-09-15,
3000,1900000031,2024,001,31,200000,100045,4979.1,4979.1,H,2024-12-09,2025-01-24
3000,1900000031,2024,002,40,430000,,4979.1,4979.1,S,2024-12-09,2025-01-24
2000,1900000032,2024,001,31,200000,100038,9170.09,9170.09,H,2024-05-23,
2000,1900000032,2024,002,40,440000,,9170.09,9170.09,S,2024-05-23,
2000,1900000033,2024,001,31,200000,100053,4730.97,4730.97,H,2024-09-02,
2000,1900000033,2024,002,40,450000,,4730.97,4730.97,S,2024-09-02,
2000,1900000034,2024,001,31,200000,100026,13010.74,13010.74,H,2025-02-25,2025-04-29
2000,1900000034,2024,002,40,400000,,13010.74,13010.74,S,2025-02-25,2025-04-29
2000,1900000035,2025,001,31,200000,100045,2052.65,2052.65,H,2025-04-29,2025-07-01
2000,1900000035,2025,002,40,480000,,2052.65,2052.65,S,2025-04-29,2025-07-01
2000,1900000036,2024,001,31,200000,100033,22404.11,22404.11,H,2024-03-02,2024-04-20
2000,1900000036,2024,002,40,450000,,22404.11,22404.11,S,2024-03-02,2024-04-20
2000,1900000037,2024,001,31,200000,100053,7203.91,7203.91,H,2024-11-25,2024-12-04
2000,1900000037,2024,002,40,470000,,7203.91,7203.91,S,2024-11-25,2024-12-04
2000,1900000038,2025,001,31,200000,100027,14918.34,14918.34,H,2025-06-17,2025-08-20
2000,1900000038,2025,002,40,480000,,14918.34,14918.34,S,2025-06-17,2025-08-20
1000,1900000039,2025,001,31,200000,100008,16179.74,16179.74,H,2025-08-25,2025-09-16
1000,1900000039,2025,002,40,410000,,16179.74,16179.74,S,2025-08-25,2025-09-16
1000,1900000040,2025,001,31,200000,100041,19534.72,19534.72,H,2024-02-12,2024-02-18
1000,1900000040,2025,002,40,440000,,19534.72,19534.72,S,2024-02-12,2024-02-18
1000,1900000041,2025,001,31,200000,100006,12463.35,12463.35,H,2025-09-27,2025-10-17
1000,1900000041,2025,002,40,420000,,12463.35,12463.35,S,2025-09-27,2025-10-17
1000,1900000042,2024,001,31,200000,100054,9303.11,9303.11,H,2025-12-08,2025-12-14
1000,1900000042,2024,002,40,440000,,9303.11,9303.11,S,2025-12-08,2025-12-14
3000,1900000043,2025,001,31,200000,100043,24642.17,24642.17,H,2024-01-29,2024-03-26
3000,1900000043,2025,002,40,470000,,24642.17,24642.17,S,2024-01-29,2024-03-26
2000,1900000044,2025,001,31,200000,100054,3893.58,3893.58,H,2024-09-22,2024-11-03
2000,1900000044,2025,002,40,440000,,3893.58,3893.58,S,2024-09-22,2024-11-03
2000,1900000045,2025,001,31,200000,100051,17453.46,17453.46,H,2025-05-24,2025-07-21
2000,1900000045,2025,002,40,470000,,17453.46,17453.46,S,2025-05-24,2025-07-21
3000,1900000046,2024,001,31,200000,100003,12651.6,12651.6,H,2024-01-17,2024-01-23
3000,1900000046,2024,002,40,430000,,12651.6,12651.6,S,2024-01-17,2024-01-23
3000,1900000047,2024,001,31,200000,100044,17384.87,17384.87,H,2025-04-19,2025-05-22
3000,1900000047,2024,002,40,400000,,17384.87,17384.87,S,2025-04-19,2025-05-22
2000,1900000048,2024,001,31,200000,100059,16553.29,16553.29,H,2024-11-14,2025-01-19
2000,1900000048,2024,002,40,440000,,16553.29,16553.29,S,2024-11-14,2025-01-19
2000,1900000049,2025,001,31,200000,100053,18918.11,18918.11,H,2025-11-26,2025-12-08
2000,1900000049,2025,002,40,440000,,18918.11,18918.11,S,2025-11-26,2025-12-08
3000,1900000050,2025,001,31,200000,100032,20109.42,20109.42,H,2025-06-09,2025-08-17
3000,1900000050,2025,002,40,420000,,20109.42,20109.42,S,2025-06-09,2025-08-17
1000,1900000051,2024,001,31,200000,100039,7234.02,7234.02,H,2025-08-11,
1000,1900000051,2024,002,40,480000,,7234.02,7234.02,S,2025-08-11,
1000,1900000052,2024,001,31,200000,100020,1667.86,1667.86,H,2025-11-28,2026-01-08
1000,1900000052,2024,002,40,430000,,1667.86,1667.86,S,2025-11-28,2026-01-08
2000,1900000053,2024,001,31,200000,100039,17295.63,17295.63,H,2024-09-29,2024-10-16
2000,1900000053,2024,002,40,480000,,17295.63,17295.63,S,2024-09-29,2024-10-16
1000,1900000054,2024,001,31,200000,100029,14948.0,14948.0,H,2025-04-21,2025-06-25
1000,1900000054,2024,002,40,400000,,14948.0,14948.0,S,2025-04-21,2025-06-25
1000,1900000055,2024,001,31,200000,100006,6916.13,6916.13,H,2024-09-07,2024-10-01
1000,1900000055,2024,002,40,450000,,6916.13,6916.13,S,2024-09-07,2024-10-01
1000,1900000056,2024,001,31,200000,100041,7541.25,7541.25,H,2025-12-03,2026-01-19
1000,1900000056,2024,002,40,430000,,7541.25,7541.25,S,2025-12-03,2026-01-19
1000,1900000057,2024,001,31,200000,100059,16859.5,16859.5,H,2024-04-08,
1000,1900000057,2024,002,40,410000,,16859.5,16859.5,S,2024-04-08,
2000,1900000058,2024,001,31,200000,100041,1848.24,1848.24,H,2024-04-26,2024-05-04
2000,1900000058,2024,002,40,420000,,1848.24,1848.24,S,2024-04-26,2024-05-04
2000,1900000059,2024,001,31,200000,100026,6346.6,6346.6,H,2025-05-15,2025-06-15
2000,1900000059,2024,002,40,400000,,6346.6,6346.6,S,2025-05-15,2025-06-15
3000,1900000060,2024,001,31,200000,100016,2069.61,2069.61,H,2024-05-12,2024-06-19
3000,1900000060,2024,002,40,420000,,2069.61,2069.61,S,2024-05-12,2024-06-19
1000,1900000061,2025,001,31,200000,100059,24661.06,24661.06,H,2025-03-29,
1000,1900000061,2025,002,40,450000,,24661.06,24661.06,S,2025-03-29,
3000,1900000062,2024,001,31,200000,100020,3575.01,3575.01,H,2024-10-03,2024-10-23
3000,1900000062,2024,002,40,410000,,3575.01,3575.01,S,2024-10-03,2024-10-23
3000,1900000063,2024,001,31,200000,100009,16768.27,16768.27,H,2025-12-04,2026-01-17
3000,1900000063,2024,002,40,440000,,16768.27,16768.27,S,2025-12-04,2026-01-17
3000,1900000064,2024,001,31,200000,100045,13441.67,13441.67,H,2025-12-19,2026-02-04
3000,1900000064,2024,002,40,450000,,13441.67,13441.67,S,2025-12-19,2026-02-04
3000,1900000065,2024,001,31,200000,100034,24286.41,24286.41,H,2024-11-24,2024-12-15
3000,1900000065,2024,002,40,450000,,24286.41,24286.41,S,2024-11-24,2024-12-15
1000,1900000066,2025,001,31,200000,100027,14597.13,14597.13,H,2024-10-07,2024-11-20
1000,1900000066,2025,002,40,400000,,14597.13,14597.13,S,2024-10-07,2024-11-20
2000,1900000067,2025,001,31,200000,100034,8813.97,8813.97,H,2024-05-17,2024-06-20
2000,1900000067,2025,002,40,450000,,8813.97,8813.97,S,2024-05-17,2024-06-20
1000,1900000068,2024,001,31,200000,100049,18472.88,18472.88,H,2024-08-04,2024-08-30
1000,1900000068,2024,002,40,480000,,18472.88,18472.88,S,2024-08-04,2024-08-30
3000,1900000069,2024,001,31,200000,100047,8040.58,8040.58,H,2024-02-01,2024-04-11
3000,1900000069,2024,002,40,410000,,8040.58,8040.58,S,2024-02-01,2024-04-11
2000,1900000070,2025,001,31,200000,100008,20245.72,20245.72,H,2025-10-10,2025-11-21
2000,1900000070,2025,002,40,420000,,20245.72,20245.72,S,2025-10-10,2025-11-21
1000,1900000071,2024,001,31,200000,100055,11939.35,11939.35,H,2025-12-26,2026-02-01
1000,1900000071,2024,002,40,440000,,11939.35,11939.35,S,2025-12-26,2026-02-01
2000,1900000072,2025,001,31,200000,100053,6760.67,6760.67,H,2025-08-05,2025-08-14
2000,1900000072,2025,002,40,440000,,6760.67,6760.67,S,2025-08-05,2025-08-14
2000,1900000073,2024,001,31,200000,100006,10982.07,10982.07,H,2024-02-24,2024-05-04
2000,1900000073,2024,002,40,420000,,10982.07,10982.07,S,2024-02-24,2024-05-04
3000,1900000074,2024,001,31,200000,100028,24015.0,24015.0,H,2025-03-21,2025-05-11
3000,1900000074,2024,002,40,450000,,24015.0,24015.0,S,2025-03-21,2025-05-11
2000,1900000075,2024,001,31,200000,100036,5851.17,5851.17,H,2025-04-22,2025-06-11
2000,1900000075,2024,002,40,440000,,5851.17,5851.17,S,2025-04-22,2025-06-11
1000,1900000076,2025,001,31,200000,100035,2696.76,2696.76,H,2024-01-26,
1000,1900000076,2025,002,40,440000,,2696.76,2696.76,S,2024-01-26,
2000,1900000077,2024,001,31,200000,100001,20283.69,20283.69,H,2025-01-06,2025-02-05
2000,1900000077,2024,002,40,460000,,20283.69,20283.69,S,2025-01-06,2025-02-05
2000,1900000078,2024,001,31,200000,100048,14422.92,14422.92,H,2025-03-20,2025-04-22
2000,1900000078,2024,002,40,420000,,14422.92,14422.92,S,2025-03-20,2025-04-22
2000,1900000079,2025,001,31,200000,100014,970.83,970.83,H,2024-09-18,2024-11-12
2000,1900000079,2025,002,40,420000,,970.83,970.83,S,2024-09-18,2024-11-12
2000,1900000080,2025,001,31,200000,100020,12027.72,12027.72,H,2024-04-21,
2000,1900000080,2025,002,40,460000,,12027.72,12027.72,S,2024-04-21,
2000,1900000081,2024,001,31,200000,100046,1656.19,1656.19,H,2024-05-16,2024-06-28
2000,1900000081,2024,002,40,430000,,1656.19,1656.19,S,2024-05-16,2024-06-28
1000,1900000082,2025,001,31,200000,100050,6614.69,6614.69,H,2025-06-08,
1000,1900000082,2025,002,40,420000,,6614.69,6614.69,S,2025-06-08,
2000,1900000083,2025,001,31,200000,100014,17204.84,17204.84,H,2025-01-02,
2000,1900000083,2025,002,40,410000,,17204.84,17204.84,S,2025-01-02,
3000,1900000084,2025,001,31,200000,100029,14333.74,14333.74,H,2025-08-30,2025-10-17
3000,1900000084,2025,002,40,440000,,14333.74,14333.74,S,2025-08-30,2025-10-17
3000,1900000085,2025,001,31,200000,100030,15654.84,15654.84,H,2025-01-02,2025-03-12
3000,1900000085,2025,002,40,410000,,15654.84,15654.84,S,2025-01-02,2025-03-12
2000,1900000086,2024,001,31,200000,100051,2908.03,2908.03,H,2024-07-21,2024-08-31
2000,1900000086,2024,002,40,420000,,2908.03,2908.03,S,2024-07-21,2024-08-31
3000,1900000087,2025,001,31,200000,100015,3491.52,3491.52,H,2025-06-26,
3000,1900000087,2025,002,40,440000,,3491.52,3491.52,S,2025-06-26,
1000,1900000088,2024,001,31,200000,100027,24131.77,24131.77,H,2024-08-10,2024-08-31
1000,1900000088,2024,002,40,470000,,24131.77,24131.77,S,2024-08-10,2024-08-31
2000,1900000089,2024,001,31,200000,100023,17820.2,17820.2,H,2025-02-24,2025-04-05
2000,1900000089,2024,002,40,400000,,17820.2,17820.2,S,2025-02-24,2025-04-05
2000,1900000090,2025,001,31,200000,100007,16661.74,16661.74,H,2025-02-04,
2000,1900000090,2025,002,40,420000,,16661.74,16661.74,S,2025-02-04,
2000,1900000091,2024,001,31,200000,100012,23933.64,23933.64,H,2025-05-31,2025-07-19
2000,1900000091,2024,002,40,400000,,23933.64,23933.64,S,2025-05-31,2025-07-19
1000,1900000092,2024,001,31,200000,100024,18017.77,18017.77,H,2024-05-18,
1000,1900000092,2024,002,40,470000,,18017.77,18017.77,S,2024-05-18,
3000,1900000093,2025,001,31,200000,100046,8595.05,8595.05,H,2025-12-01,2025-12-23
3000,1900000093,2025,002,40,470000,,8595.05,8595.05,S,2025-12-01,2025-12-23
1000,1900000094,2025,001,31,200000,100040,12141.68,12141.68,H,2025-03-09,
1000,1900000094,2025,002,40,430000,,12141.68,12141.68,S,2025-03-09,
1000,1900000095,2024,001,31,200000,100036,5582.17,5582.17,H,2025-12-18,2026-02-19
1000,1900000095,2024,002,40,430000,,5582.17,5582.17,S,2025-12-18,2026-02-19
1000,1900000096,2025,001,31,200000,100002,24092.07,24092.07,H,2025-03-31,2025-04-28
1000,1900000096,2025,002,40,410000,,24092.07,24092.07,S,2025-03-31,2025-04-28
3000,1900000097,2025,001,31,200000,100026,495.6,495.6,H,2024-05-02,2024-07-08
3000,1900000097,2025,002,40,470000,,495.6,495.6,S,2024-05-02,2024-07-08
1000,1900000098,2024,001,31,200000,100028,22372.04,22372.04,H,2024-09-21,2024-11-14
1000,1900000098,2024,002,40,460000,,22372.04,22372.04,S,2024-09-21,2024-11-14
3000,1900000099,2025,001,31,200000,100057,21889.74,21889.74,H,2024-12-18,
3000,1900000099,2025,002,40,450000,,21889.74,21889.74,S,2024-12-18,
2000,1900000100,2024,001,31,200000,100013,4701.58,4701.58,H,2024-01-29,2024-02-27
2000,1900000100,2024,002,40,410000,,4701.58,4701.58,S,2024-01-29,2024-02-27
1000,1900000101,2024,001,31,200000,100053,20285.52,20285.52,H,2024-02-06,2024-02-17
1000,1900000101,2024,002,40,470000,,20285.52,20285.52,S,2024-02-06,2024-02-17
3000,1900000102,2024,001,31,200000,100022,11342.45,11342.45,H,2024-08-29,2024-10-02
3000,1900000102,2024,002,40,410000,,11342.45,11342.45,S,2024-08-29,2024-10-02
1000,1900000103,2025,001,31,200000,100034,23545.27,23545.27,H,2024-07-18,2024-09-04
1000,1900000103,2025,002,40,400000,,23545.27,23545.27,S,2024-07-18,2024-09-04
2000,1900000104,2025,001,31,200000,100046,17320.16,17320.16,H,2024-06-17,2024-08-08
2000,1900000104,2025,002,40,400000,,17320.16,17320.16,S,2024-06-17,2024-08-08
3000,1900000105,2024,001,31,200000,100005,659.73,659.73,H,2025-07-16,2025-09-19
3000,1900000105,2024,002,40,420000,,659.73,659.73,S,2025-07-16,2025-09-19
1000,1900000106,2024,001,31,200000,100038,12044.21,12044.21,H,2025-11-06,2025-11-26
1000,1900000106,2024,002,40,480000,,12044.21,12044.21,S,2025-11-06,2025-11-26
1000,1900000107,2025,001,31,200000,100031,4663.69,4663.69,H,2024-10-14,2024-11-29
1000,1900000107,2025,002,40,460000,,4663.69,4663.69,S,2024-10-14,2024-11-29
3000,1900000108,2024,001,31,200000,100001,2069.58,2069.58,H,2024-08-29,
3000,1900000108,2024,002,40,480000,,2069.58,2069.58,S,2024-08-29,
1000,1900000109,2024,001,31,200000,100037,11614.05,11614.05,H,2024-12-25,2025-01-02
1000,1900000109,2024,002,40,430000,,11614.05,11614.05,S,2024-12-25,2025-01-02
2000,1900000110,2024,001,31,200000,100002,13553.04,13553.04,H,2025-07-22,2025-07-27
2000,1900000110,2024,002,40,440000,,13553.04,13553.04,S,2025-07-22,2025-07-27
3000,1900000111,2024,001,31,200000,100034,4398.64,4398.64,H,2024-12-10,2025-01-19
3000,1900000111,2024,002,40,410000,,4398.64,4398.64,S,2024-12-10,2025-01-19
3000,1900000112,2024,001,31,200000,100033,11203.81,11203.81,H,2024-01-25,2024-03-24
3000,1900000112,2024,002,40,470000,,11203.81,11203.81,S,2024-01-25,2024-03-24
3000,1900000113,2024,001,31,200000,100013,8248.64,8248.64,H,2025-12-21,2026-02-07
3000,1900000113,2024,002,40,400000,,8248.64,8248.64,S,2025-12-21,2026-02-07
1000,1900000114,2024,001,31,200000,100047,8514.4,8514.4,H,2024-04-11,
1000,1900000114,2024,002,40,470000,,8514.4,8514.4,S,2024-04-11,
3000,1900000115,2025,001,31,200000,100013,15626.21,15626.21,H,2025-02-07,2025-02-28
3000,1900000115,2025,002,40,470000,,15626.21,15626.21,S,2025-02-07,2025-02-28
3000,1900000116,2025,001,31,200000,100050,13596.38,13596.38,H,2024-12-13,
3000,1900000116,2025,002,40,420000,,13596.38,13596.38,S,2024-12-13,
2000,1900000117,2024,001,31,200000,100023,13925.37,13925.37,H,2024-08-24,2024-10-09
2000,1900000117,2024,002,40,400000,,13925.37,13925.37,S,2024-08-24,2024-10-09
2000,1900000118,2025,001,31,200000,100032,3826.67,3826.67,H,2024-09-25,2024-11-18
2000,1900000118,2025,002,40,440000,,3826.67,3826.67,S,2024-09-25,2024-11-18
1000,1900000119,2024,001,31,200000,100042,21771.52,21771.52,H,2024-11-02,2024-12-13
1000,1900000119,2024,002,40,410000,,21771.52,21771.52,S,2024-11-02,2024-12-13
2000,1900000120,2025,001,31,200000,100035,6558.96,6558.96,H,2025-01-24,
2000,1900000120,2025,002,40,480000,,6558.96,6558.96,S,2025-01-24,
3000,1900000121,2025,001,31,200000,100005,10602.74,10602.74,H,2025-11-24,2026-01-14
3000,1900000121,2025,002,40,480000,,10602.74,10602.74,S,2025-11-24,2026-01-14
1000,1900000122,2024,001,31,200000,100014,23951.86,23951.86,H,2025-09-27,
1000,1900000122,2024,002,40,460000,,23951.86,23951.86,S,2025-09-27,
2000,1900000123,2025,001,31,200000,100001,16099.44,16099.44,H,2025-03-26,2025-05-07
2000,1900000123,2025,002,40,410000,,16099.44,16099.44,S,2025-03-26,2025-05-07
2000,1900000124,2024,001,31,200000,100047,14560.78,14560.78,H,2024-09-03,2024-10-18
2000,1900000124,2024,002,40,430000,,14560.78,14560.78,S,2024-09-03,2024-10-18
2000,1900000125,2024,001,31,200000,100003,7112.74,7112.74,H,2024-03-16,
2000,1900000125,2024,002,40,410000,,7112.74,7112.74,S,2024-03-16,
2000,1900000126,2025,001,31,200000,100043,16815.87,16815.87,H,2025-01-04,2025-01-27
2000,1900000126,2025,002,40,440000,,16815.87,16815.87,S,2025-01-04,2025-01-27
2000,1900000127,2025,001,31,200000,100016,561.83,561.83,H,2025-03-29,2025-05-10
2000,1900000127,2025,002,40,400000,,561.83,561.83,S,2025-03-29,2025-05-10
2000,1900000128,2025,001,31,200000,100031,8745.1,8745.1,H,2024-07-27,2024-09-27
2000,1900000128,2025,002,40,450000,,8745.1,8745.1,S,2024-07-27,2024-09-27
1000,1900000129,2025,001,31,200000,100018,22518.39,22518.39,H,2024-07-04,2024-07-26
1000,1900000129,2025,002,40,400000,,22518.39,22518.39,S,2024-07-04,2024-07-26
1000,1900000130,2025,001,31,200000,100047,24231.89,24231.89,H,2024-08-18,2024-10-22
1000,1900000130,2025,002,40,430000,,24231.89,24231.89,S,2024-08-18,2024-10-22
2000,1900000131,2024,001,31,200000,100036,3696.39,3696.39,H,2025-05-23,2025-07-28
2000,1900000131,2024,002,40,420000,,3696.39,3696.39,S,2025-05-23,2025-07-28
1000,1900000132,2024,001,31,200000,100020,866.23,866.23,H,2024-09-12,2024-11-14
1000,1900000132,2024,002,40,480000,,866.23,866.23,S,2024-09-12,2024-11-14
3000,1900000133,2025,001,31,200000,100044,9311.77,9311.77,H,2025-08-24,
3000,1900000133,2025,002,40,440000,,9311.77,9311.77,S,2025-08-24,
1000,1900000134,2024,001,31,200000,100031,689.08,689.08,H,2025-02-04,2025-02-09
1000,1900000134,2024,002,40,450000,,689.08,689.08,S,2025-02-04,2025-02-09
3000,1900000135,2024,001,31,200000,100017,10300.16,10300.16,H,2025-07-05,2025-08-05
3000,1900000135,2024,002,40,400000,,10300.16,10300.16,S,2025-07-05,2025-08-05
2000,1900000136,2025,001,31,200000,100035,20564.61,20564.61,H,2024-10-02,2024-11-27
2000,1900000136,2025,002,40,450000,,20564.61,20564.61,S,2024-10-02,2024-11-27
1000,1900000137,2024,001,31,200000,100032,8214.8,8214.8,H,2025-08-29,2025-10-07
1000,1900000137,2024,002,40,470000,,8214.8,8214.8,S,2025-08-29,2025-10-07
2000,1900000138,2025,001,31,200000,100016,18461.9,18461.9,H,2025-03-27,2025-05-25
2000,1900000138,2025,002,40,400000,,18461.9,18461.9,S,2025-03-27,2025-05-25
3000,1900000139,2024,001,31,200000,100006,20822.82,20822.82,H,2025-01-21,2025-02-26
3000,1900000139,2024,002,40,470000,,20822.82,20822.82,S,2025-01-21,2025-02-26
3000,1900000140,2025,001,31,200000,100055,14863.08,14863.08,H,2024-10-16,2024-12-22
3000,1900000140,2025,002,40,440000,,14863.08,14863.08,S,2024-10-16,2024-12-22
2000,1900000141,2025,001,31,200000,100019,14083.52,14083.52,H,2024-07-23,
2000,1900000141,2025,002,40,460000,,14083.52,14083.52,S,2024-07-23,
1000,1900000142,2025,001,31,200000,100046,11029.24,11029.24,H,2025-12-23,2026-02-11
1000,1900000142,2025,002,40,470000,,11029.24,11029.24,S,2025-12-23,2026-02-11
1000,1900000143,2024,001,31,200000,100026,18528.52,18528.52,H,2024-11-04,
1000,1900000143,2024,002,40,450000,,18528.52,18528.52,S,2024-11-04,
3000,1900000144,2025,001,31,200000,100034,13183.37,13183.37,H,2025-03-15,
3000,1900000144,2025,002,40,480000,,13183.37,13183.37,S,2025-03-15,
2000,1900000145,2024,001,31,200000,100028,4424.43,4424.43,H,2024-03-11,2024-04-14
2000,1900000145,2024,002,40,410000,,4424.43,4424.43,S,2024-03-11,2024-04-14
1000,1900000146,2024,001,31,200000,100021,12614.13,12614.13,H,2025-09-14,
1000,1900000146,2024,002,40,430000,,12614.13,12614.13,S,2025-09-14,
2000,1900000147,2024,001,31,200000,100055,2237.51,2237.51,H,2025-08-09,
2000,1900000147,2024,002,40,430000,,2237.51,2237.51,S,2025-08-09,
1000,1900000148,2024,001,31,200000,100013,22446.93,22446.93,H,2025-08-26,2025-09-20
1000,1900000148,2024,002,40,410000,,22446.93,22446.93,S,2025-08-26,2025-09-20
2000,1900000149,2025,001,31,200000,100039,11633.44,11633.44,H,2024-01-25,2024-02-26
2000,1900000149,2025,002,40,420000,,11633.44,11633.44,S,2024-01-25,2024-02-26
2000,1900000150,2025,001,31,200000,100038,6972.99,6972.99,H,2024-10-28,2024-12-16
2000,1900000150,2025,002,40,460000,,6972.99,6972.99,S,2024-10-28,2024-12-16
2000,1900000151,2025,001,31,200000,100024,9211.79,9211.79,H,2025-05-09,2025-06-17
2000,1900000151,2025,002,40,410000,,9211.79,9211.79,S,2025-05-09,2025-06-17
2000,1900000152,2025,001,31,200000,100050,9620.79,9620.79,H,2025-11-01,
2000,1900000152,2025,002,40,450000,,9620.79,9620.79,S,2025-11-01,
2000,1900000153,2025,001,31,200000,100020,2296.07,2296.07,H,2024-08-28,
2000,1900000153,2025,002,40,440000,,2296.07,2296.07,S,2024-08-28,
1000,1900000154,2024,001,31,200000,100016,23031.5,23031.5,H,2025-02-17,2025-04-20
1000,1900000154,2024,002,40,460000,,23031.5,23031.5,S,2025-02-17,2025-04-20
3000,1900000155,2024,001,31,200000,100012,10938.99,10938.99,H,2025-05-05,2025-06-11
