BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
2000,1900000036,2024,RE,2024-02-26,2024-03-02,AED,4500091344
2000,1900000037,2024,RE,2024-11-23,2024-11-25,EUR,4500091547
2000,1900000038,2025,RE,2025-06-12,2025-06-17,USD,4500091554
1000,1900000039,2025,RE,2025-08-24,2025-08-25,USD,4500091791
1000,1900000040,2025,RE,2024-02-09,2024-02-12,AED,4500091561
1000,1900000041,2025,RE,2025-09-25,2025-09-27,AED,4500090044
1000,1900000042,2024,RE,2025-12-05,2025-12-08,AED,4500090604
3000,1900000043,2025,RE,2024-01-24,2024-01-29,AED,4500090194
2000,1900000044,2025,RE,2024-09-20,2024-09-22,AED,4500090167
2000,1900000045,2025,RE,2025-05-24,2025-05-24,USD,4500091686
3000,1900000046,2024,RE,2024-01-17,2024-01-17,USD,4500090168
3000,1900000047,2024,RE,2025-04-19,2025-04-19,USD,4500090496
2000,1900000048,2024,RE,2024-11-11,2024-11-14,USD,4500090949
2000,1900000049,2025,RE,2025-11-26,2025-11-26,USD,4500091230
3000,1900000050,2025,RE,2025-06-09,2025-06-09,USD,4500091634
1000,1900000051,2024,RE,2025-08-10,2025-08-11,AED,4500090534
1000,1900000052,2024,RE,2025-11-27,2025-11-28,AED,4500090248
2000,1900000053,2024,RE,2024-09-27,2024-09-29,AED,4500090278
1000,1900000054,2024,RE,2025-04-19,2025-04-21,USD,4500091612
1000,1900000055,2024,RE,2024-09-04,2024-09-07,AED,4500090044
1000,1900000056,2024,RE,2025-11-30,2025-12-03,AED,4500091819
1000,1900000057,2024,RE,2024-04-03,2024-04-08,EUR,4500090778
2000,1900000058,2024,RE,2024-04-21,2024-04-26,USD,4500091682
2000,1900000059,2024,RE,2025-05-15,2025-05-15,AED,4500090056
3000,1900000060,2024,RE,2024-05-11,2024-05-12,EUR,4500091605
1000,1900000061,2025,RE,2025-03-24,2025-03-29,AED,4500091324
3000,1900000062,2024,RE,2024-09-28,2024-10-03,AED,4500091671
3000,1900000063,2024,RE,2025-12-02,2025-12-04,EUR,4500091704
3000,1900000064,2024,RE,2025-12-19,2025-12-19,AED,4500091504
3000,1900000065,2024,RE,2024-11-20,2024-11-24,USD,4500090429
1000,1900000066,2025,RE,2024-10-03,2024-10-07,USD,4500090122
2000,1900000067,2025,RE,2024-05-16,2024-05-17,EUR,4500090374
1000,1900000068,2024,RE,2024-07-30,2024-08-04,USD,4500091046
3000,1900000069,2024,RE,2024-01-29,2024-02-01,EUR,4500091060
2000,1900000070,2025,RE,2025-10-07,2025-10-10,USD,4500091199
1000,1900000071,2024,RE,2025-12-21,2025-12-26,EUR,4500090733
2000,1900000072,2025,RE,2025-08-02,2025-08-05,AED,4500091594
2000,1900000073,2024,RE,2024-02-24,2024-02-24,AED,4500090874
3000,1900000074,2024,RE,2025-03-20,2025-03-21,USD,4500090799
2000,1900000075,2024,RE,2025-04-18,2025-04-22,AED,4500091643
1000,1900000076,2025,RE,2024-01-22,2024-01-26,EUR,4500091337
2000,1900000077,2024,RE,2025-01-04,2025-01-06,AED,4500090049
2000,1900000078,2024,RE,2025-03-20,2025-03-20,EUR,4500090089
2000,1900000079,2025,RE,2024-09-15,2024-09-18,AED,4500091725
2000,1900000080,2025,RE,2024-04-16,2024-04-21,EUR,4500090738
2000,1900000081,2024,RE,2024-05-14,2024-05-16,USD,4500091584
1000,1900000082,2025,RE,2025-06-04,2025-06-08,AED,4500091380
2000,1900000083,2025,RE,2025-01-01,2025-01-02,EUR,4500090941
3000,1900000084,2025,RE,2025-08-28,2025-08-30,AED,4500091610
3000,1900000085,2025,RE,2024-12-28,2025-01-02,EUR,4500091238
2000,1900000086,2024,RE,2024-07-16,2024-07-21,USD,4500090354
3000,1900000087,2025,RE,2025-06-25,2025-06-26,EUR,4500090899
1000,1900000088,2024,RE,2024-08-06,2024-08-10,AED,4500091847
2000,1900000089,2024,RE,2025-02-22,2025-02-24,AED,4500090793
2000,1900000090,2025,RE,2025-02-02,2025-02-04,AED,4500090569
2000,1900000091,2024,RE,2025-05-31,2025-05-31,EUR,4500091131
1000,1900000092,2024,RE,2024-05-14,2024-05-18,EUR,4500091920
3000,1900000093,2025,RE,2025-11-26,2025-12-01,USD,4500091587
1000,1900000094,2025,RE,2025-03-06,2025-03-09,AED,4500091597
1000,1900000095,2024,RE,2025-12-16,2025-12-18,AED,4500091279
1000,1900000096,2025,RE,2025-03-27,2025-03-31,EUR,4500091497
3000,1900000097,2025,RE,2024-05-02,2024-05-02,USD,4500091689
1000,1900000098,2024,RE,2024-09-20,2024-09-21,AED,4500091549
3000,1900000099,2025,RE,2024-12-17,2024-12-18,AED,4500091989
2000,1900000100,2024,RE,2024-01-27,2024-01-29,EUR,4500090975
1000,1900000101,2024,RE,2024-02-01,2024-02-06,AED,4500091138
3000,1900000102,2024,RE,2024-08-26,2024-08-29,USD,4500091275
1000,1900000103,2025,RE,2024-07-16,2024-07-18,AED,4500090266
2000,1900000104,2025,RE,2024-06-12,2024-06-17,USD,4500091830
3000,1900000105,2024,RE,2025-07-11,2025-07-16,USD,4500091076
1000,1900000106,2024,RE,2025-11-01,2025-11-06,USD,4500090353
1000,1900000107,2025,RE,2024-10-12,2024-10-14,EUR,4500091196
3000,1900000108,2024,RE,2024-08-28,2024-08-29,AED,4500091581
1000,1900000109,2024,RE,2024-12-25,2024-12-25,AED,4500091477
2000,1900000110,2024,RE,2025-07-18,2025-07-22,AED,4500090342
3000,1900000111,2024,RE,2024-12-10,2024-12-10,USD,4500091922
3000,1900000112,2024,RE,2024-01-25,2024-01-25,EUR,4500091939
3000,1900000113,2024,RE,2025-12-18,2025-12-21,EUR,4500091330
1000,1900000114,2024,RE,2024-04-09,2024-04-11,EUR,4500091203
3000,1900000115,2025,RE,2025-02-04,2025-02-07,EUR,4500090360
3000,1900000116,2025,RE,2024-12-13,2024-12-13,AED,4500090364
2000,1900000117,2024,RE,2024-08-19,2024-08-24,AED,4500090080
2000,1900000118,2025,RE,2024-09-22,2024-09-25,AED,4500091396
1000,1900000119,2024,RE,2024-10-29,2024-11-02,AED,4500091356
2000,1900000120,2025,RE,2025-01-21,2025-01-24,USD,4500090871
3000,1900000121,2025,RE,2025-11-19,2025-11-24,USD,4500091831
1000,1900000122,2024,RE,2025-09-27,2025-09-27,USD,4500090644
2000,1900000123,2025,RE,2025-03-23,2025-03-26,EUR,4500091322
2000,1900000124,2024,RE,2024-08-29,2024-09-03,USD,4500091032
2000,1900000125,2024,RE,2024-03-15,2024-03-16,USD,4500090930
2000,1900000126,2025,RE,2024-12-30,2025-01-04,USD,4500090883
2000,1900000127,2025,RE,2025-03-25,2025-03-29,EUR,4500090505
2000,1900000128,2025,RE,2024-07-24,2024-07-27,USD,4500090988
1000,1900000129,2025,RE,2024-07-01,2024-07-04,USD,4500090806
1000,1900000130,2025,RE,2024-08-13,2024-08-18,AED,4500091707
2000,1900000131,2024,RE,2025-05-23,2025-05-23,AED,4500091974
1000,1900000132,2024,RE,2024-09-12,2024-09-12,AED,4500090148
3000,1900000133,2025,RE,2025-08-24,2025-08-24,EUR,4500091766
1000,1900000134,2024,RE,2025-02-01,2025-02-04,USD,4500090371
3000,1900000135,2024,RE,2025-07-04,2025-07-05,AED,4500091877
2000,1900000136,2025,RE,2024-10-02,2024-10-02,USD,4500090414
1000,1900000137,2024,RE,2025-08-25,2025-08-29,AED,4500091339
2000,1900000138,2025,RE,2025-03-27,2025-03-27,USD,4500091773
3000,1900000139,2024,RE,2025-01-21,2025-01-21,EUR,4500090050
3000,1900000140,2025,RE,2024-10-11,2024-10-16,AED,4500090064
2000,1900000141,2025,RE,2024-07-20,2024-07-23,AED,4500091826
1000,1900000142,2025,RE,2025-12-20,2025-12-23,AED,4500090488
1000,1900000143,2024,RE,2024-11-04,2024-11-04,EUR,4500091449
3000,1900000144,2025,RE,2025-03-15,2025-03-15,EUR,4500091706
2000,1900000145,2024,RE,2024-03-09,2024-03-11,USD,4500091483
1000,1900000146,2024,RE,2025-09-10,2025-09-14,EUR,4500090513
2000,1900000147,2024,RE,2025-08-08,2025-08-09,USD,4500091451
1000,1900000148,2024,RE,2025-08-22,2025-08-26,AED,4500091461
2000,1900000149,2025,RE,2024-01-25,2024-01-25,EUR,4500090643
2000,1900000150,2025,RE,2024-10-23,2024-10-28,EUR,4500091355
2000,1900000151,2025,RE,2025-05-09,2025-05-09,USD,4500090928
2000,1900000152,2025,RE,2025-10-27,2025-11-01,AED,4500091503
2000,1900000153,2025,RE,2024-08-24,2024-08-28,USD,4500090855
1000,1900000154,2024,RE,2025-02-14,2025-02-17,AED,4500090758
3000,1900000155,2024,RE,2025-04-30,2025-05-05,EUR,4500091909
3000,1900000156,2024,RE,2025-07-29,2025-07-31,USD,4500091992
3000,1900000157,2024,RE,2024-12-03,2024-12-05,AED,4500091200
2000,1900000158,2024,RE,2025-09-30,2025-10-04,EUR,4500090127
1000,1900000159,2024,RE,2024-11-02,2024-11-07,EUR,4500090294
3000,1900000160,2025,RE,2025-07-21,2025-07-23,USD,4500090157
2000,1900000161,2025,RE,2024-08-25,2024-08-30,EUR,4500090957
2000,1900000162,2024,RE,2025-05-05,2025-05-06,EUR,4500090126
1000,1900000163,2024,RE,2024-06-15,2024-06-15,EUR,4500091196
2000,1900000164,2025,RE,2025-08-03,2025-08-04,USD,4500091114
3000,1900000165,2025,RE,2025-06-04,2025-06-06,AED,4500090222
3000,1900000166,2024,RE,2025-06-19,2025-06-22,USD,4500091089
3000,1900000167,2024,RE,2025-02-06,2025-02-06,AED,4500090728
3000,1900000168,2024,RE,2024-09-16,2024-09-18,USD,4500091246
2000,1900000169,2025,RE,2025-08-08,2025-08-12,EUR,4500090149
1000,1900000170,2024,RE,2025-02-10,2025-02-13,EUR,4500090672
2000,1900000171,2025,RE,2025-12-30,2026-01-03,AED,4500091654
2000,1900000172,2024,RE,2025-06-30,2025-07-01,AED,4500090139
2000,1900000173,2025,RE,2025-08-20,2025-08-20,USD,4500091228
1000,1900000174,2025,RE,2025-09-09,2025-09-11,USD,4500090540
2000,1900000175,2025,RE,2025-12-01,2025-12-05,USD,4500090805
1000,1900000176,2025,RE,2025-04-13,2025-04-14,USD,4500090993
1000,1900000177,2025,RE,2024-05-14,2024-05-19,USD,4500091664
1000,1900000178,2025,RE,2025-11-26,2025-11-30,USD,4500091242
1000,1900000179,2025,RE,2025-11-07,2025-11-10,EUR,4500090384
3000,1900000180,2024,RE,2024-02-12,2024-02-17,EUR,4500091304
1000,1900000181,2024,RE,2024-10-04,2024-10-07,EUR,4500091692
3000,1900000182,2024,RE,2025-02-21,2025-02-22,AED,4500090800
3000,1900000183,2024,RE,2025-06-18,2025-06-19,AED,4500091388
3000,1900000184,2024,RE,2025-07-05,2025-07-05,AED,4500090661
1000,1900000185,2024,RE,2024-11-16,2024-11-20,AED,4500091317
2000,1900000186,2024,RE,2024-05-24,2024-05-26,USD,4500091830
2000,1900000187,2024,RE,2025-01-12,2025-01-12,USD,4500090100
1000,1900000188,2024,RE,2024-02-25,2024-02-29,USD,4500091928
1000,1900000189,2024,RE,2024-01-05,2024-01-07,USD,4500090286
1000,1900000190,2025,RE,2025-04-24,2025-04-27,EUR,4500091858
1000,1900000191,2025,RE,2024-05-12,2024-05-15,AED,4500091438
2000,1900000192,2024,RE,2025-03-27,2025-03-30,AED,4500090726
3000,1900000193,2025,RE,2024-12-11,2024-12-13,USD,4500090974
1000,1900000194,2024,RE,2025-02-02,2025-02-05,EUR,4500091920
1000,1900000195,2024,RE,2025-08-13,2025-08-18,USD,4500091188
1000,1900000196,2024,RE,2024-05-22,2024-05-22,EUR,4500091449
3000,1900000197,2024,RE,2024-08-15,2024-08-20,USD,4500091811
1000,1900000198,2025,RE,2025-07-06,2025-07-10,EUR,4500090967
2000,1900000199,2024,RE,2025-04-02,2025-04-05,AED,4500091826
2000,1900000200,2025,RE,2024-02-14,2024-02-15,AED,4500091234
3000,1900000201,2025,RE,2024-12-20,2024-12-24,EUR,4500090303
2000,1900000202,2025,RE,2024-03-30,2024-04-01,AED,4500090946
3000,1900000203,2025,RE,2024-07-10,2024-07-11,EUR,4500090863
2000,1900000204,2024,RE,2024-01-04,2024-01-09,AED,4500091224
2000,1900000205,2025,RE,2025-02-05,2025-02-07,AED,4500090514
2000,1900000206,2025,RE,2025-03-04,2025-03-08,USD,4500091533
3000,1900000207,2024,RE,2025-10-06,2025-10-07,USD,4500091293
3000,1900000208,2025,RE,2024-11-22,2024-11-23,EUR,4500091470
1000,1900000209,2025,RE,2025-04-01,2025-04-05,USD,4500091848
3000,1900000210,2025,RE,2025-01-16,2025-01-17,AED,4500090385
3000,1900000211,2024,RE,2025-03-09,2025-03-10,EUR,4500091842
3000,1900000212,2025,RE,2025-10-22,2025-10-25,AED,4500091496
1000,1900000213,2025,RE,2024-05-03,2024-05-06,USD,4500090757
2000,1900000214,2024,RE,2025-03-07,2025-03-12,AED,4500090494
3000,1900000215,2024,RE,2025-10-26,2025-10-31,EUR,4500091679
2000,1900000216,2024,RE,2025-02-24,2025-03-01,USD,4500090684
1000,1900000217,2024,RE,2024-03-10,2024-03-14,USD,4500091013
2000,1900000218,2025,RE,2025-01-02,2025-01-07,EUR,4500091165
3000,1900000219,2024,RE,2024-02-12,2024-02-17,USD,4500091616
2000,1900000220,2025,RE,2024-06-06,2024-06-07,USD,4500090916
2000,1900000221,2025,RE,2024-03-31,2024-03-31,USD,4500090524
3000,1900000222,2024,RE,2024-09-28,2024-09-30,EUR,4500090667
2000,1900000223,2025,RE,2024-08-23,2024-08-26,USD,4500090928
1000,1900000224,2024,RE,2025-03-15,2025-03-17,EUR,4500090583
3000,1900000225,2025,RE,2024-08-13,2024-08-16,USD,4500090094
1000,1900000226,2025,RE,2024-07-24,2024-07-26,USD,4500090033
3000,1900000227,2024,RE,2025-09-13,2025-09-18,EUR,4500091241
1000,1900000228,2024,RE,2024-05-16,2024-05-20,EUR,4500091162
3000,1900000229,2025,RE,2025-07-12,2025-07-15,AED,4500090405
1000,1900000230,2024,RE,2025-04-13,2025-04-18,EUR,4500091539
2000,1900000231,2024,RE,2024-11-06,2024-11-09,USD,4500091035
2000,1900000232,2024,RE,2025-12-01,2025-12-01,USD,4500090454
3000,1900000233,2024,RE,2024-06-11,2024-06-16,EUR,4500091060
3000,1900000234,2024,RE,2024-07-04,2024-07-06,EUR,4500090669
2000,1900000235,2024,RE,2024-05-29,2024-05-30,AED,4500090772
3000,1900000236,2025,RE,2025-05-14,2025-05-15,AED,4500091504
3000,1900000237,2025,RE,2025-09-12,2025-09-17,AED,4500091887
1000,1900000238,2024,RE,2025-11-19,2025-11-24,AED,4500090362
3000,1900000239,2024,RE,2024-12-27,2024-12-27,AED,4500090814
1000,1900000240,2025,RE,2025-01-22,2025-01-26,AED,4500090178
1000,1900000241,2025,RE,2025-04-27,2025-05-01,EUR,4500091424
2000,1900000242,2025,RE,2024-09-17,2024-09-17,EUR,4500091237
1000,1900000243,2025,RE,2025-09-28,2025-10-03,AED,4500091065
1000,1900000244,2024,RE,2025-07-28,2025-08-01,USD,4500090559
2000,1900000245,2025,RE,2024-05-04,2024-05-07,USD,4500090507
2000,1900000246,2025,RE,2024-05-18,2024-05-23,USD,4500090861
2000,1900000247,2025,RE,2024-09-10,2024-09-15,AED,4500091233
2000,1900000248,2025,RE,2024-06-10,2024-06-11,EUR,4500091589
2000,1900000249,2024,RE,2025-01-10,2025-01-11,EUR,4500090440
3000,1900000250,2024,RE,2024-03-15,2024-03-16,AED,4500090745
3000,1900000251,2025,RE,2025-08-30,2025-09-03,EUR,4500090596
2000,1900000252,2024,RE,2025-07-16,2025-07-20,EUR,4500090375
2000,1900000253,2025,RE,2025-09-10,2025-09-10,EUR,4500090374
3000,1900000254,2025,RE,2025-02-12,2025-02-16,USD,4500090995
3000,1900000255,2024,RE,2025-08-18,2025-08-23,USD,4500091413
1000,1900000256,2024,RE,2024-08-05,2024-08-06,EUR,4500091779
3000,1900000257,2025,RE,2025-06-06,2025-06-09,EUR,4500090447
2000,1900000258,2024,RE,2025-03-21,2025-03-25,USD,4500091472
2000,1900000259,2024,RE,2025-05-09,2025-05-10,EUR,4500090926
3000,1900000260,2024,RE,2024-02-17,2024-02-21,USD,4500091728
1000,1900000261,2025,RE,2024-10-16,2024-10-21,USD,4500091910
3000,1900000262,2024,RE,2025-11-13,2025-11-18,EUR,4500090343
3000,1900000263,2025,RE,2025-07-13,2025-07-14,USD,4500090543
1000,1900000264,2024,RE,2024-06-13,2024-06-15,AED,4500091456
2000,1900000265,2024,RE,2025-03-23,2025-03-26,EUR,4500090451
3000,1900000266,2025,RE,2024-08-08,2024-08-09,EUR,4500091954
3000,1900000267,2025,RE,2025-02-14,2025-02-17,USD,4500091534
1000,1900000268,2024,RE,2025-07-03,2025-07-06,USD,4500091890
2000,1900000269,2024,RE,2024-07-12,2024-07-16,AED,4500090655
2000,1900000270,2024,RE,2024-01-17,2024-01-18,USD,4500090885
3000,1900000271,2025,RE,2024-12-12,2024-12-13,AED,4500090989
2000,1900000272,2025,RE,2024-03-20,2024-03-24,EUR,4500090739
2000,1900000273,2024,RE,2024-11-23,2024-11-23,AED,4500090056
3000,1900000274,2024,RE,2025-05-16,2025-05-19,EUR,4500090596
3000,1900000275,2024,RE,2025-05-18,2025-05-18,EUR,4500090893
1000,1900000276,2024,RE,2024-10-06,2024-10-11,EUR,4500091332
1000,1900000277,2024,RE,2024-01-08,2024-01-08,USD,4500090475
2000,1900000278,2025,RE,2025-03-29,2025-03-30,USD,4500090930
3000,1900000279,2024,RE,2025-12-07,2025-12-11,EUR,4500091156
1000,1900000280,2024,RE,2024-06-10,2024-06-10,USD,4500090221
3000,1900000281,2024,RE,2025-01-27,2025-01-31,USD,4500091833
2000,1900000282,2024,RE,2024-02-12,2024-02-15,USD,4500090060
3000,1900000283,2025,RE,2024-10-06,2024-10-09,AED,4500091306
3000,1900000284,2024,RE,2025-07-07,2025-07-09,EUR,4500091368
1000,1900000285,2024,RE,2024-07-18,2024-07-23,AED,4500091138
1000,1900000286,2024,RE,2025-11-07,2025-11-11,AED,4500091698
2000,1900000287,2025,RE,2025-06-17,2025-06-17,USD,4500091110
1000,1900000288,2025,RE,2025-12-16,2025-12-19,USD,4500091681
3000,1900000289,2025,RE,2025-08-21,2025-08-23,USD,4500090852
2000,1900000290,2024,RE,2024-06-05,2024-06-05,EUR,4500090991
3000,1900000291,2025,RE,2025-04-22,2025-04-22,USD,4500091908
3000,1900000292,2024,RE,2025-12-21,2025-12-23,EUR,4500091136
1000,1900000293,2024,RE,2025-04-16,2025-04-21,AED,4500091789
3000,1900000294,2025,RE,2025-10-13,2025-10-17,EUR,4500091264
3000,1900000295,2025,RE,2025-04-30,2025-05-01,EUR,4500091073
3000,1900000296,2024,RE,2025-09-14,2025-09-15,EUR,4500091960
3000,1900000297,2025,RE,2024-09-18,2024-09-18,USD,4500090334
2000,1900000298,2024,RE,2025-09-12,2025-09-16,EUR,4500091363
1000,1900000299,2025,RE,2024-09-11,2024-09-15,EUR,4500090277
2000,1900000300,2025,RE,2024-05-14,2024-05-19,AED,4500091630
3000,1900000301,2025,RE,2025-02-18,2025-02-19,USD,4500090852
2000,1900000302,2025,RE,2024-08-19,2024-08-20,USD,4500090682
1000,1900000303,2025,RE,2025-02-24,2025-02-27,EUR,4500090115
3000,1900000304,2024,RE,2024-05-16,2024-05-16,AED,4500090238
1000,1900000305,2025,RE,2025-03-01,2025-03-02,AED,4500090362
1000,1900000306,2024,RE,2025-01-08,2025-01-11,AED,4500091816
3000,1900000307,2025,RE,2024-04-30,2024-05-05,AED,4500090743
1000,1900000308,2025,RE,2024-05-30,2024-05-30,EUR,4500090554
3000,1900000309,2025,RE,2024-12-06,2024-12-09,USD,4500090600
3000,1900000310,2025,RE,2024-11-02,2024-11-03,USD,4500091293
2000,1900000311,2024,RE,2025-01-10,2025-01-10,USD,4500091035
1000,1900000312,2025,RE,2025-10-19,2025-10-23,USD,4500090559
2000,1900000313,2024,RE,2025-09-02,2025-09-06,EUR,4500090590
2000,1900000314,2024,RE,2024-08-07,2024-08-12,EUR,4500091491
3000,1900000315,2025,RE,2024-05-01,2024-05-03,AED,4500091566
1000,1900000316,2025,RE,2024-09-24,2024-09-26,AED,4500090647
1000,1900000317,2025,RE,2024-06-30,2024-07-05,USD,4500090983
1000,1900000318,2025,RE,2024-06-24,2024-06-26,USD,4500091664
2000,1900000319,2025,RE,2024-04-03,2024-04-04,AED,4500090052
1000,1900000320,2025,RE,2025-01-28,2025-01-29,AED,4500091095
3000,1900000321,2024,RE,2025-03-11,2025-03-14,USD,4500091294
1000,1900000322,2025,RE,2025-09-01,2025-09-06,EUR,4500090773
3000,1900000323,2025,RE,2024-03-06,2024-03-10,EUR,4500091804
2000,1900000324,2024,RE,2024-03-20,2024-03-22,EUR,4500090692
3000,1900000325,2024,RE,2024-06-17,2024-06-19,AED,4500090209
1000,1900000326,2024,RE,2024-09-17,2024-09-17,AED,4500090850
2000,1900000327,2025,RE,2025-07-08,2025-07-11,USD,4500091901
2000,1900000328,2024,RE,2024-06-25,2024-06-25,EUR,4500091308
1000,1900000329,2024,RE,2024-02-07,2024-02-10,AED,4500090604
3000,1900000330,2024,RE,2024-02-03,2024-02-03,USD,4500091792
3000,1900000331,2024,RE,2024-09-20,2024-09-23,USD,4500091716
2000,1900000332,2025,RE,2025-06-30,2025-07-03,EUR,4500090505
3000,1900000333,2025,RE,2024-11-25,2024-11-30,AED,4500091062
3000,1900000334,2024,RE,2025-04-26,2025-05-01,AED,4500091997
3000,1900000335,2025,RE,2024-01-30,2024-02-01,USD,4500090349
3000,1900000336,2025,RE,2025-02-03,2025-02-06,AED,4500091737
1000,1900000337,2025,RE,2025-09-11,2025-09-13,USD,4500090755
3000,1900000338,2024,RE,2024-08-23,2024-08-27,EUR,4500091580
2000,1900000339,2024,RE,2024-05-16,2024-05-20,USD,4500091519
2000,1900000340,2025,RE,2025-09-24,2025-09-27,USD,4500090871
1000,1900000341,2025,RE,2024-01-18,2024-01-21,USD,4500091857
1000,1900000342,2024,RE,2025-05-27,2025-05-29,AED,4500090178
1000,1900000343,2024,RE,2025-11-02,2025-11-04,AED,4500090777
3000,1900000344,2025,RE,2024-03-03,2024-03-07,EUR,4500090707
2000,1900000345,2024,RE,2024-12-10,2024-12-11,AED,4500090830
3000,1900000346,2025,RE,2025-08-27,2025-08-29,AED,4500091564
2000,1900000347,2025,RE,2025-04-14,2025-04-15,USD,4500091584
2000,1900000348,2024,RE,2024-06-23,2024-06-25,USD,4500090676
3000,1900000349,2025,RE,2025-10-17,2025-10-17,EUR,4500090937
3000,1900000350,2024,RE,2025-05-06,2025-05-10,USD,4500091745
1000,1900000351,2025,RE,2024-08-02,2024-08-06,USD,4500090671
2000,1900000352,2024,RE,2024-08-17,2024-08-22,USD,4500090291
1000,1900000353,2024,RE,2024-09-25,2024-09-25,USD,4500090001
1000,1900000354,2024,RE,2024-11-23,2024-11-26,USD,4500090293
3000,1900000355,2024,RE,2024-07-25,2024-07-30,USD,4500090697
2000,1900000356,2024,RE,2024-10-18,2024-10-21,EUR,4500090683
1000,1900000357,2024,RE,2024-10-04,2024-10-04,EUR,4500091531
2000,1900000358,2024,RE,2024-09-26,2024-09-29,AED,4500091619
3000,1900000359,2024,RE,2024-05-27,2024-05-31,AED,4500091015
3000,1900000360,2024,RE,2025-06-03,2025-06-03,AED,4500091349
2000,1900000361,2025,RE,2025-01-28,2025-01-28,EUR,4500090174
2000,1900000362,2025,RE,2025-01-17,2025-01-19,EUR,4500090125
2000,1900000363,2025,RE,2025-03-16,2025-03-16,AED,4500090859
2000,1900000364,2024,RE,2025-07-20,2025-07-24,EUR,4500090455
3000,1900000365,2025,RE,2025-03-01,2025-03-04,AED,4500090064
3000,1900000366,2024,RE,2025-04-19,2025-04-22,EUR,4500091924
2000,1900000367,2024,RE,2024-11-01,2024-11-03,AED,4500090637
3000,1900000368,2025,RE,2024-04-23,2024-04-27,EUR,4500091842
1000,1900000369,2025,RE,2024-04-23,2024-04-23,EUR,4500090733
1000,1900000370,2024,RE,2024-07-29,2024-07-30,USD,4500091175
2000,1900000371,2024,RE,2025-10-30,2025-10-30,EUR,4500091415
1000,1900000372,2025,RE,2024-11-18,2024-11-20,EUR,4500091994
1000,1900000373,2024,RE,2024-01-18,2024-01-21,USD,4500090293
1000,1900000374,2024,RE,2024-04-18,2024-04-20,USD,4500090901
1000,1900000375,2025,RE,2025-05-03,2025-05-06,AED,4500090626
3000,1900000376,2025,RE,2024-09-18,2024-09-23,EUR,4500091151
1000,1900000377,2024,RE,2024-10-15,2024-10-15,AED,4500090111
1000,1900000378,2024,RE,2024-06-20,2024-06-25,EUR,4500091880
2000,1900000379,2025,RE,2025-04-09,2025-04-12,USD,4500091038
1000,1900000380,2025,RE,2025-06-27,2025-07-01,EUR,4500090370
2000,1900000381,2025,RE,2024-03-25,2024-03-28,EUR,4500091700
3000,1900000382,2025,RE,2025-08-20,2025-08-22,USD,4500091534
