MBLNR,MJAHR,BLDAT,BUDAT
5000000180,2024,2024-11-12,2024-11-13
5000000181,2025,2025-03-31,2025-04-01
5000000182,2025,2025-09-19,2025-09-19
5000000183,2024,2025-06-12,2025-06-15
5000000184,2025,2024-01-30,2024-02-02
5000000185,2024,2025-07-06,2025-07-09
5000000186,2024,2025-09-30,2025-10-02
5000000187,2025,2024-03-19,2024-03-21
5000000188,2024,2025-06-02,2025-06-04
5000000189,2025,2024-02-19,2024-02-19
5000000190,2024,2024-05-09,2024-05-10
5000000191,2024,2024-02-04,2024-02-04
5000000192,2024,2024-11-15,2024-11-16
5000000193,2024,2025-01-09,2025-01-09
5000000194,2024,2025-02-20,2025-02-21
5000000195,2025,2024-07-29,2024-07-29
5000000196,2024,2024-02-07,2024-02-10
5000000197,2025,2024-11-29,2024-12-01
5000000198,2025,2025-03-18,2025-03-18
5000000199,2024,2024-10-15,2024-10-16
5000000200,2024,2025-01-28,2025-01-29
5000000201,2024,2024-11-07,2024-11-10
5000000202,2024,2025-03-13,2025-03-15
5000000203,2024,2024-10-05,2024-10-06
5000000204,2024,2025-06-07,2025-06-10
5000000205,2024,2024-12-17,2024-12-18
5000000206,2025,2024-09-18,2024-09-18
5000000207,2024,2025-10-16,2025-10-19
5000000208,2025,2025-05-29,2025-05-30
5000000209,2025,2025-12-29,2026-01-01
5000000210,2025,2024-11-06,2024-11-07
5000000211,2025,2025-11-19,2025-11-21
5000000212,2025,2025-03-17,2025-03-20
5000000213,2024,2024-01-06,2024-01-09
5000000214,2025,2025-11-26,2025-11-27
5000000215,2024,2024-12-10,2024-12-11
5000000216,2025,2025-09-29,2025-10-01
5000000217,2024,2024-07-04,2024-07-04
5000000218,2025,2024-04-20,2024-04-23
5000000219,2024,2024-02-28,2024-02-29
5000000220,2024,2025-06-20,2025-06-22
5000000221,2025,2024-02-04,2024-02-05
5000000222,2024,2025-12-15,2025-12-16
5000000223,2024,2024-06-22,2024-06-25
5000000224,2025,2025-03-29,2025-04-01
5000000225,2024,2025-10-06,2025-10-09
5000000226,2025,2024-09-06,2024-09-09
5000000227,2024,2024-06-02,2024-06-03
5000000228,2025,2024-08-11,2024-08-11
5000000229,2025,2025-01-22,2025-01-23
5000000230,2025,2024-03-07,2024-03-07
5000000231,2025,2025-03-11,2025-03-12
5000000232,2024,2025-01-25,2025-01-27
5000000233,2024,2025-04-01,2025-04-02
5000000234,2025,2024-06-08,2024-06-10
5000000235,2025,2024-06-09,2024-06-09
5000000236,2025,2025-09-24,2025-09-26
5000000237,2024,2024-09-07,2024-09-09
5000000238,2024,2025-03-29,2025-04-01
5000000239,2024,2025-02-14,2025-02-14
5000000240,2024,2025-06-14,2025-06-15
5000000241,2024,2024-07-18,2024-07-18
5000000242,2025,2025-01-30,2025-02-02
5000000243,2025,2025-12-27,2025-12-30
5000000244,2024,2025-02-28,2025-03-02
5000000245,2024,2024-04-30,2024-05-01
5000000246,2025,2025-04-20,2025-04-21
5000000247,2025,2024-09-20,2024-09-22
5000000248,2025,2025-12-06,2025-12-08
5000000249,2024,2024-04-12,2024-04-14
5000000250,2024,2024-07-25,2024-07-26
5000000251,2025,2024-08-11,2024-08-13
5000000252,2025,2025-03-01,2025-03-03
5000000253,2025,2025-09-21,2025-09-21
5000000254,2025,2024-03-15,2024-03-15
5000000255,2025,2024-12-30,2024-12-30
5000000256,2024,2025-04-18,2025-04-21
5000000257,2025,2025-01-08,2025-01-08
5000000258,2024,2025-09-10,2025-09-10
5000000259,2024,2024-02-06,2024-02-07
5000000260,2024,2025-04-02,2025-04-05
5000000261,2025,2025-12-12,2025-12-12
5000000262,2024,2024-08-22,2024-08-25
5000000263,2025,2024-10-25,2024-10-26
5000000264,2025,2025-06-02,2025-06-03
5000000265,2025,2024-11-14,2024-11-14
5000000266,2024,2024-12-10,2024-12-11
5000000267,2025,2024-07-10,2024-07-12
5000000268,2024,2024-01-10,2024-01-10
5000000269,2025,2024-10-13,2024-10-15
5000000270,2025,2025-03-26,2025-03-29
5000000271,2025,2024-09-04,2024-09-04
5000000272,2025,2024-07-19,2024-07-21
5000000273,2024,2025-01-02,2025-01-03
5000000274,2024,2024-12-25,2024-12-25
5000000275,2025,2025-10-09,2025-10-10
5000000276,2024,2024-08-13,2024-08-16
5000000277,2025,2024-03-26,2024-03-26
5000000278,2024,2025-03-10,2025-03-12
5000000279,2024,2024-06-06,2024-06-06
5000000280,2024,2025-12-12,2025-12-15
5000000281,2025,2025-03-26,2025-03-28
5000000282,2025,2025-10-19,2025-10-20
5000000283,2025,2024-08-30,2024-08-31
5000000284,2024,2024-01-30,2024-01-31
5000000285,2025,2025-02-22,2025-02-23
5000000286,2025,2024-06-24,2024-06-25
5000000287,2025,2025-06-11,2025-06-14
5000000288,2025,2024-10-04,2024-10-06
5000000289,2025,2025-11-22,2025-11-25
5000000290,2025,2025-05-28,2025-05-29
5000000291,2024,2024-09-05,2024-09-08
5000000292,2024,2025-06-01,2025-06-04
5000000293,2024,2025-01-25,2025-01-28
5000000294,2025,2025-12-29,2025-12-30
5000000295,2025,2024-08-02,2024-08-03
5000000296,2025,2024-01-15,2024-01-17
5000000297,2025,2024-11-21,2024-11-24
5000000298,2025,2024-06-08,2024-06-08
5000000299,2025,2024-05-28,2024-05-31
5000000300,2025,2025-07-26,2025-07-26
5000000301,2024,2025-01-05,2025-01-08
5000000302,2025,2024-11-23,2024-11-24
5000000303,2024,2025-12-03,2025-12-04
5000000304,2024,2024-03-23,2024-03-26
5000000305,2025,2024-04-28,2024-04-29
5000000306,2025,2024-12-18,2024-12-20
5000000307,2025,2025-03-10,2025-03-12
5000000308,2024,2024-04-07,2024-04-09
5000000309,2024,2024-08-27,2024-08-29
5000000310,2025,2024-11-14,2024-11-17
5000000311,2025,2024-04-27,2024-04-30
5000000312,2024,2024-05-10,2024-05-12
5000000313,2024,2024-03-07,2024-03-09
5000000314,2024,2025-07-12,2025-07-15
5000000315,2024,2024-09-29,2024-10-01
5000000316,2025,2025-06-15,2025-06-16
5000000317,2025,2025-09-27,2025-09-30
5000000318,2025,2024-08-29,2024-08-30
5000000319,2024,2024-11-14,2024-11-14
5000000320,2024,2025-08-22,2025-08-25
5000000321,2024,2025-12-22,2025-12-22
5000000322,2025,2024-09-08,2024-09-10
5000000323,2024,2025-11-11,2025-11-11
5000000324,2024,2025-06-04,2025-06-07
5000000325,2025,2024-12-30,2025-01-02
5000000326,2024,2025-10-24,2025-10-24
5000000327,2024,2025-07-05,2025-07-06
5000000328,2025,2025-03-11,2025-03-13
5000000329,2025,2024-12-04,2024-12-04
5000000330,2025,2025-01-17,2025-01-17
5000000331,2025,2025-05-02,2025-05-05
5000000332,2024,2025-12-06,2025-12-06
5000000333,2024,2025-08-27,2025-08-30
5000000334,2025,2025-07-09,2025-07-12
5000000335,2024,2025-10-13,2025-10-14
5000000336,2025,2024-05-03,2024-05-05
5000000337,2025,2025-12-31,2026-01-02
5000000338,2025,2024-12-05,2024-12-05
5000000339,2024,2025-02-18,2025-02-20
5000000340,2024,2024-07-28,2024-07-30
5000000341,2025,2025-05-06,2025-05-09
5000000342,2024,2025-05-22,2025-05-24
5000000343,2024,2024-03-23,2024-03-24
5000000344,2025,2024-03-23,2024-03-26
5000000345,2024,2025-03-10,2025-03-12
5000000346,2024,2025-11-23,2025-11-26
5000000347,2025,2025-12-11,2025-12-11
5000000348,2024,2024-06-24,2024-06-27
5000000349,2024,2024-01-11,2024-01-12
5000000350,2024,2025-09-03,2025-09-03
5000000351,2025,2024-07-17,2024-07-18
5000000352,2024,2025-02-16,2025-02-19
5000000353,2024,2025-05-17,2025-05-19
5000000354,2025,2024-09-23,2024-09-26
5000000355,2024,2025-04-16,2025-04-18
5000000356,2024,2024-09-01,2024-09-03
5000000357,2025,2024-06-03,2024-06-06
5000000358,2024,2025-07-22,2025-07-23
5000000359,2025,2025-03-14,2025-03-16
5000000360,2025,2025-02-02,2025-02-05
5000000361,2025,2025-03-15,2025-03-16
5000000362,2025,2025-03-20,2025-03-20
5000000363,2025,2025-10-08,2025-10-09
5000000364,2025,2025-06-19,2025-06-19
5000000365,2025,2024-06-29,2024-07-01
5000000366,2024,2025-10-08,2025-10-11
5000000367,2024,2025-04-12,2025-04-15
5000000368,2024,2025-10-29,2025-11-01
5000000369,2024,2025-05-12,2025-05-14
5000000370,2024,2024-02-26,2024-02-27
5000000371,2024,2025-02-02,2025-02-04
5000000372,2025,2025-02-22,2025-02-25
5000000373,2024,2025-01-08,2025-01-11
5000000374,2025,2025-05-02,2025-05-03
5000000375,2025,2025-12-24,2025-12-26
5000000376,2025,2024-01-09,2024-01-09
5000000377,2025,2024-11-16,2024-11-16
5000000378,2024,2025-09-13,2025-09-16
5000000379,2025,2025-02-05,2025-02-05
5000000380,2025,2024-11-10,2024-11-13
5000000381,2024,2025-01-07,2025-01-07
5000000382,2025,2024-09-06,2024-09-06
5000000383,2024,2025-03-21,2025-03-21
5000000384,2024,2025-09-18,2025-09-18
5000000385,2025,2024-09-21,2024-09-23
5000000386,2024,2025-07-02,2025-07-04
5000000387,2024,2025-09-06,2025-09-07
5000000388,2024,2024-11-30,2024-11-30
5000000389,2025,2024-01-14,2024-01-17
5000000390,2025,2025-06-15,2025-06-18
5000000391,2025,2025-12-04,2025-12-07
5000000392,2025,2025-08-17,2025-08-20
5000000393,2025,2024-07-10,2024-07-12
5000000394,2024,2025-01-27,2025-01-27
5000000395,2024,2025-06-24,2025-06-27
5000000396,2025,2025-08-31,2025-09-01
5000000397,2024,2025-04-13,2025-04-15
5000000398,2025,2025-08-21,2025-08-23
5000000399,2025,2025-11-19,2025-11-20
5000000400,2025,2025-01-03,2025-01-03
5000000401,2024,2025-05-11,2025-05-12
5000000402,2024,2024-08-19,2024-08-22
5000000403,2024,2024-06-05,2024-06-05
5000000404,2024,2024-11-11,2024-11-12
5000000405,2024,2025-03-23,2025-03-26
5000000406,2025,2025-07-04,2025-07-05
5000000407,2024,2024-01-14,2024-01-15
5000000408,2024,2024-06-06,2024-06-08
5000000409,2025,2024-12-07,2024-12-07
5000000410,2025,2025-12-17,2025-12-18
5000000411,2024,2024-04-19,2024-04-19
5000000412,2025,2025-06-27,2025-06-27
5000000413,2024,2025-09-02,2025-09-04
5000000414,2024,2024-05-24,2024-05-27
5000000415,2024,2025-10-11,2025-10-14
5000000416,2024,2025-09-10,2025-09-12
5000000417,2025,2024-07-04,2024-07-05
5000000418,2025,2024-04-09,2024-04-11
5000000419,2025,2025-11-06,2025-11-08
5000000420,2025,2024-03-20,2024-03-21
5000000421,2025,2025-05-01,2025-05-02
5000000422,2024,2025-09-27,2025-09-27
5000000423,2025,2024-12-15,2024-12-17
5000000424,2025,2024-11-10,2024-11-13
5000000425,2024,2025-05-13,2025-05-15
5000000426,2024,2024-09-05,2024-09-07
5000000427,2024,2024-03-20,2024-03-21
5000000428,2025,2024-01-07,2024-01-07
5000000429,2025,2024-11-07,2024-11-09
5000000430,2024,2025-01-03,2025-01-06
5000000431,2024,2025-03-11,2025-03-13
5000000432,2024,2025-05-18,2025-05-18
5000000433,2024,2025-10-19,2025-10-19
5000000434,2024,2024-07-12,2024-07-15
5000000435,2025,2025-03-12,2025-03-12
5000000436,2024,2025-04-24,2025-04-25
5000000437,2024,2024-01-18,2024-01-20
5000000438,2024,2024-05-07,2024-05-07
5000000439,2025,2024-05-22,2024-05-25
5000000440,2025,2025-09-19,2025-09-21
5000000441,2025,2024-12-05,2024-12-05
5000000442,2025,2025-11-03,2025-11-05
5000000443,2025,2024-11-08,2024-11-10
5000000444,2024,2024-05-28,2024-05-31
5000000445,2025,2025-09-29,2025-10-02
5000000446,2024,2025-11-01,2025-11-02
5000000447,2025,2024-04-01,2024-04-02
5000000448,2025,2024-06-26,2024-06-29
5000000449,2025,2024-06-20,2024-06-21
5000000450,2024,2025-07-29,2025-07-30
5000000451,2025,2024-11-25,2024-11-26
5000000452,2025,2024-07-25,2024-07-26
5000000453,2024,2024-05-10,2024-05-10
5000000454,2024,2024-08-03,2024-08-05
5000000455,2024,2024-12-09,2024-12-11
5000000456,2025,2024-07-24,2024-07-25
5000000457,2025,2024-12-13,2024-12-14
5000000458,2025,2025-03-06,2025-03-06
5000000459,2025,2024-09-18,2024-09-21
5000000460,2025,2024-01-18,2024-01-18
5000000461,2025,2024-04-19,2024-04-20
5000000462,2024,2025-07-22,2025-07-24
5000000463,2024,2024-05-10,2024-05-10
5000000464,2024,2025-09-24,2025-09-27
5000000465,2025,2025-10-16,2025-10-18
5000000466,2024,2024-10-02,2024-10-05
5000000467,2025,2024-12-15,2024-12-18
5000000468,2025,2024-04-12,2024-04-14
5000000469,2025,2024-01-07,2024-01-08
5000000470,2024,2025-09-29,2025-10-02
5000000471,2025,2025-08-06,2025-08-07
5000000472,2024,2024-04-30,2024-05-01
5000000473,2024,2024-10-23,2024-10-23
5000000474,2024,2024-07-28,2024-07-29
5000000475,2025,2025-02-22,2025-02-25
5000000476,2024,2024-03-09,2024-03-09
5000000477,2025,2025-12-01,2025-12-03
5000000478,2025,2024-05-27,2024-05-30
5000000479,2025,2025-09-16,2025-09-19
5000000480,2025,2024-06-20,2024-06-20
5000000481,2024,2024-05-22,2024-05-22
5000000482,2024,2024-05-07,2024-05-09
5000000483,2024,2024-10-06,2024-10-07
5000000484,2024,2025-12-09,2025-12-11
5000000485,2025,2024-05-09,2024-05-11
5000000486,2025,2024-10-10,2024-10-11
5000000487,2025,2024-12-11,2024-12-12
5000000488,2024,2024-06-05,2024-06-07
5000000489,2025,2025-05-14,2025-05-14
5000000490,2025,2025-09-13,2025-09-16
5000000491,2024,2025-03-26,2025-03-26
5000000492,2024,2025-04-30,2025-04-30
5000000493,2024,2024-03-29,2024-04-01
5000000494,2024,2024-01-26,2024-01-26
5000000495,2025,2025-03-01,2025-03-03
5000000496,2025,2024-12-31,2024-12-31
5000000497,2024,2025-01-11,2025-01-13
5000000498,2025,2025-10-19,2025-10-21
5000000499,2024,2024-03-31,2024-04-01
5000000500,2024,2024-07-07,2024-07-08
5000000501,2025,2025-06-07,2025-06-09
5000000502,2024,2025-03-24,2025-03-27
5000000503,2024,2025-11-30,2025-12-03
5000000504,2024,2024-02-11,2024-02-12
5000000505,2024,2025-02-13,2025-02-14
5000000506,2025,2024-09-15,2024-09-15
5000000507,2025,2024-07-24,2024-07-27
5000000508,2025,2024-10-18,2024-10-19
5000000509,2025,2025-02-03,2025-02-06
5000000510,2024,2025-09-21,2025-09-22
5000000511,2025,2025-05-10,2025-05-10
5000000512,2024,2024-05-06,2024-05-09
5000000513,2025,2024-07-07,2024-07-08
5000000514,2024,2025-01-12,2025-01-13
5000000515,2025,2024-07-14,2024-07-14
5000000516,2024,2024-08-05,2024-08-05
5000000517,2025,2024-05-22,2024-05-23
5000000518,2025,2024-09-05,2024-09-07
5000000519,2025,2025-10-03,2025-10-06
5000000520,2024,2025-03-24,2025-03-25
5000000521,2024,2025-08-30,2025-09-02
5000000522,2024,2024-10-04,2024-10-05
5000000523,2025,2024-11-12,2024-11-14
5000000524,2024,2024-08-01,2024-08-01
5000000525,2025,2024-10-23,2024-10-23
5000000526,2025,2024-01-02,2024-01-05
5000000527,2024,2025-08-27,2025-08-28
5000000528,2024,2025-01-21,2025-01-22
5000000529,2024,2024-09-03,2024-09-03
5000000530,2024,2025-11-11,2025-11-13
5000000531,2024,2024-12-08,2024-12-10
5000000532,2024,2024-12-24,2024-12-24
5000000533,2024,2024-10-11,2024-10-14
5000000534,2025,2024-04-12,2024-04-12
5000000535,2025,2025-11-21,2025-11-23
5000000536,2024,2025-01-14,2025-01-15
5000000537,2024,2024-10-04,2024-10-04
5000000538,2024,2025-04-08,2025-04-08
5000000539,2024,2025-04-24,2025-04-27
5000000540,2025,2025-06-28,2025-06-29
5000000541,2025,2024-09-18,2024-09-21
5000000542,2024,2025-06-13,2025-06-14
5000000543,2025,2024-06-25,2024-06-27
5000000544,2025,2025-08-25,2025-08-27
5000000545,2025,2024-01-17,2024-01-17
5000000546,2024,2024-10-10,2024-10-12
5000000547,2024,2024-03-29,2024-03-30
5000000548,2024,2025-02-15,2025-02-17
5000000549,2025,2025-06-18,2025-06-21
5000000550,2025,2025-07-01,2025-07-04
5000000551,2025,2024-11-12,2024-11-15
5000000552,2024,2025-12-25,2025-12-25
5000000553,2024,2025-12-18,2025-12-19
5000000554,2024,2025-12-16,2025-12-19
5000000555,2025,2025-07-22,2025-07-23
5000000556,2025,2024-11-08,2024-11-11
5000000557,2025,2024-11-21,2024-11-24
5000000558,2024,2025-03-05,2025-03-08
5000000559,2025,2024-05-23,2024-05-23
5000000560,2025,2024-07-15,2024-07-17
5000000561,2024,2025-03-07,2025-03-07
5000000562,2025,2025-07-02,2025-07-02
5000000563,2025,2024-07-28,2024-07-30
5000000564,2025,2024-08-10,2024-08-11
5000000565,2024,2025-08-19,2025-08-20
5000000566,2024,2025-03-06,2025-03-08
5000000567,2024,2024-01-01,2024-01-02
5000000568,2025,2025-09-17,2025-09-17
5000000569,2025,2024-10-04,2024-10-07
5000000570,2025,2024-04-24,2024-04-25
5000000571,2024,2024-07-17,2024-07-20
5000000572,2024,2025-02-24,2025-02-26
5000000573,2025,2025-07-11,2025-07-11
5000000574,2024,2025-06-30,2025-07-03
5000000575,2025,2025-07-03,2025-07-06
5000000576,2025,2024-04-25,2024-04-26
5000000577,2025,2024-08-04,2024-08-05
5000000578,2025,2024-07-19,2024-07-21
5000000579,2024,2025-11-07,2025-11-07
5000000580,2024,2025-05-27,2025-05-29
5000000581,2025,2025-08-31,2025-09-02
5000000582,2024,2025-04-28,2025-04-28
5000000583,2024,2025-03-05,2025-03-05
5000000584,2025,2024-12-25,2024-12-28
5000000585,2025,2024-12-20,2024-12-23
5000000586,2025,2025-01-26,2025-01-27
5000000587,2024,2024-06-07,2024-06-08
5000000588,2025,2025-07-28,2025-07-29
5000000589,2025,2024-01-30,2024-02-02
5000000590,2025,2024-10-12,2024-10-13
5000000591,2024,2025-05-02,2025-05-04
5000000592,2025,2024-10-27,2024-10-29
5000000593,2025,2025-07-17,2025-07-17
5000000594,2024,2025-03-25,2025-03-27
5000000595,2025,2024-09-28,2024-10-01
5000000596,2025,2025-05-17,2025-05-18
5000000597,2025,2024-03-10,2024-03-12
5000000598,2025,2025-08-21,2025-08-24
5000000599,2024,2025-08-05,2025-08-08
5000000600,2025,2025-03-24,2025-03-26
5000000601,2024,2024-03-12,2024-03-15
5000000602,2025,2025-02-18,2025-02-20
5000000603,2024,2024-03-14,2024-03-15
5000000604,2025,2025-03-13,2025-03-15
5000000605,2025,2024-04-14,2024-04-17
5000000606,2024,2024-04-19,2024-04-21
5000000607,2024,2025-01-30,2025-02-01
5000000608,2024,2024-07-19,2024-07-21
5000000609,2025,2024-07-03,2024-07-04
5000000610,2024,2024-10-11,2024-10-11
5000000611,2024,2025-12-03,2025-12-05
5000000612,2024,2024-07-03,2024-07-04
5000000613,2025,2024-09-25,2024-09-26
5000000614,2025,2025-05-24,2025-05-25
5000000615,2025,2024-12-08,2024-12-11
5000000616,2024,2025-10-02,2025-10-03
5000000617,2025,2024-01-30,2024-01-30
5000000618,2025,2025-03-02,2025-03-03
5000000619,2025,2024-06-30,2024-07-02
5000000620,2025,2025-12-04,2025-12-04
5000000621,2024,2024-02-08,2024-02-09
5000000622,2024,2024-08-03,2024-08-06
5000000623,2024,2025-07-04,2025-07-07
5000000624,2024,2025-03-17,2025-03-17
5000000625,2024,2024-09-19,2024-09-21
5000000626,2024,2024-08-25,2024-08-27
5000000627,2025,2025-07-04,2025-07-05
5000000628,2025,2025-09-08,2025-09-11
5000000629,2025,2025-01-09,2025-01-10
5000000630,2024,2025-02-26,2025-03-01
5000000631,2025,2024-11-03,2024-11-05
5000000632,2025,2025-12-11,2025-12-14
5000000633,2025,2025-03-15,2025-03-16
