EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,BEDAT,WAERS,ZTERM
4500090124,1000,NB,100006,2000,004,2024-05-15,AED,0001
4500090125,2000,NB,100038,2000,004,2024-11-28,EUR,NT30
4500090126,2000,FO,100004,2000,003,2024-06-20,EUR,NT30
4500090127,2000,FO,100024,2000,002,2024-12-03,EUR,NT60
4500090128,2000,FO,100050,2000,004,2024-09-05,EUR,NT30
4500090129,2000,ZSER,100013,1000,004,2025-03-24,AED,0001
4500090130,2000,ZSER,100030,2000,001,2025-08-19,EUR,NT30
4500090131,3000,ZSER,100039,2000,003,2024-02-15,EUR,NT30
4500090132,3000,ZSER,100035,1000,004,2025-08-17,EUR,0001
4500090133,2000,NB,100030,2000,004,2024-12-22,EUR,NT30
4500090134,2000,NB,100035,2000,002,2025-03-12,USD,0001
4500090135,1000,FO,100023,1000,003,2024-11-29,AED,0001
4500090136,1000,NB,100008,2000,001,2024-11-16,USD,NT60
4500090137,1000,ZSER,100044,1000,004,2025-10-22,EUR,NT45
4500090138,3000,FO,100035,2000,004,2025-06-01,EUR,0001
4500090139,2000,ZSER,100049,1000,004,2025-07-10,AED,NT45
4500090140,3000,ZSER,100022,2000,002,2025-12-28,AED,NT45
4500090141,3000,FO,100018,1000,002,2024-10-23,EUR,NT30
4500090142,2000,FO,100040,1000,001,2025-02-28,EUR,NT60
4500090143,1000,FO,100013,2000,003,2025-03-15,EUR,NT60
4500090144,1000,FO,100001,2000,001,2024-05-07,EUR,NT45
4500090145,1000,NB,100042,2000,003,2025-10-26,AED,NT45
4500090146,3000,NB,100024,1000,003,2024-04-01,EUR,NT60
4500090147,2000,FO,100041,1000,002,2024-06-17,EUR,0001
4500090148,1000,FO,100020,1000,002,2024-05-23,AED,NT60
4500090149,2000,ZSER,100047,1000,002,2025-02-05,EUR,0001
4500090150,2000,FO,100056,1000,004,2024-01-13,AED,0001
4500090151,3000,ZSER,100032,2000,004,2024-10-20,AED,0001
4500090152,3000,NB,100019,1000,003,2024-03-21,EUR,NT30
4500090153,1000,NB,100042,1000,001,2024-06-28,USD,0001
4500090154,1000,FO,100017,1000,004,2025-06-20,EUR,NT60
4500090155,3000,ZSER,100016,1000,002,2024-04-15,AED,NT30
4500090156,1000,NB,100058,2000,002,2024-06-02,EUR,NT45
4500090157,3000,FO,100020,1000,003,2024-03-29,USD,NT60
4500090158,3000,ZSER,100034,1000,003,2024-12-20,USD,0001
4500090159,2000,FO,100026,1000,001,2025-12-18,AED,NT45
4500090160,1000,NB,100008,1000,002,2025-08-21,EUR,0001
4500090161,1000,NB,100044,2000,002,2025-09-09,USD,NT45
4500090162,1000,NB,100006,1000,002,2024-05-23,USD,NT45
4500090163,2000,NB,100007,1000,004,2024-02-13,AED,0001
4500090164,2000,FO,100003,1000,004,2024-03-30,USD,NT45
4500090165,2000,ZSER,100050,2000,004,2025-05-11,EUR,NT45
4500090166,3000,FO,100003,1000,002,2025-04-28,USD,NT45
4500090167,2000,NB,100054,1000,002,2025-02-01,AED,NT60
4500090168,3000,NB,100003,1000,004,2024-08-26,USD,NT60
4500090169,3000,FO,100049,1000,003,2024-04-23,AED,0001
4500090170,3000,FO,100046,2000,002,2025-03-23,AED,NT60
4500090171,3000,NB,100036,1000,003,2025-02-04,AED,NT45
4500090172,1000,ZSER,100022,1000,003,2024-11-23,EUR,NT30
4500090173,2000,ZSER,100056,2000,001,2025-01-22,EUR,NT45
4500090174,2000,NB,100021,1000,001,2024-06-23,EUR,0001
4500090175,1000,FO,100010,1000,002,2024-02-24,EUR,NT60
4500090176,2000,NB,100040,1000,001,2025-09-06,USD,NT45
4500090177,2000,NB,100023,2000,004,2024-07-10,EUR,NT60
4500090178,1000,ZSER,100026,1000,004,2025-08-26,AED,0001
4500090179,1000,NB,100011,1000,001,2024-06-20,EUR,NT30
4500090180,3000,ZSER,100050,2000,001,2025-12-18,EUR,NT45
4500090181,2000,FO,100055,2000,004,2025-07-02,AED,0001
4500090182,2000,ZSER,100019,1000,002,2024-10-14,USD,NT60
4500090183,1000,ZSER,100032,1000,002,2025-02-17,USD,NT45
4500090184,2000,FO,100045,2000,004,2024-07-22,AED,NT30
4500090185,3000,ZSER,100055,2000,003,2025-04-30,USD,NT60
4500090186,1000,ZSER,100049,1000,002,2024-08-07,EUR,0001
4500090187,1000,FO,100038,2000,003,2024-01-09,EUR,0001
4500090188,3000,ZSER,100035,2000,003,2025-10-24,AED,NT30
4500090189,2000,ZSER,100025,1000,001,2025-11-07,AED,0001
4500090190,3000,FO,100040,2000,002,2025-05-02,AED,NT45
4500090191,2000,FO,100047,2000,003,2024-11-10,AED,NT60
4500090192,2000,FO,100008,2000,002,2024-07-24,EUR,NT45
4500090193,1000,FO,100040,2000,002,2024-02-29,USD,NT45
4500090194,3000,ZSER,100043,1000,002,2024-01-05,AED,NT60
4500090195,1000,FO,100027,2000,003,2025-12-04,USD,NT45
4500090196,3000,NB,100039,1000,001,2024-02-19,USD,NT30
4500090197,3000,ZSER,100053,1000,003,2024-04-17,USD,NT30
4500090198,3000,ZSER,100005,2000,002,2024-04-23,USD,NT30
4500090199,1000,NB,100016,1000,001,2025-04-20,EUR,NT60
4500090200,2000,FO,100017,1000,001,2024-04-05,EUR,0001
4500090201,1000,ZSER,100043,2000,003,2025-03-24,AED,NT30
4500090202,3000,ZSER,100000,1000,003,2025-12-22,AED,NT30
4500090203,2000,NB,100048,2000,003,2025-05-18,USD,NT45
4500090204,1000,ZSER,100035,2000,002,2024-01-01,AED,0001
4500090205,2000,FO,100014,2000,003,2024-01-03,AED,NT30
4500090206,1000,FO,100046,1000,002,2025-02-23,USD,0001
4500090207,3000,NB,100053,2000,004,2025-11-19,AED,NT45
4500090208,2000,ZSER,100032,1000,003,2025-01-28,EUR,NT60
4500090209,3000,FO,100045,1000,002,2024-10-24,AED,NT60
4500090210,3000,ZSER,100045,2000,004,2025-03-03,USD,NT30
4500090211,2000,ZSER,100017,2000,002,2024-06-13,USD,NT60
4500090212,3000,FO,100047,1000,003,2025-10-24,AED,NT30
4500090213,3000,ZSER,100023,1000,002,2025-08-25,EUR,0001
4500090214,1000,ZSER,100016,2000,001,2024-05-13,EUR,0001
4500090215,1000,ZSER,100035,2000,002,2025-01-01,USD,NT30
4500090216,1000,ZSER,100023,2000,001,2024-10-27,USD,NT60
4500090217,3000,ZSER,100052,2000,004,2025-01-18,USD,NT60
4500090218,1000,ZSER,100042,2000,001,2025-10-06,USD,0001
4500090219,1000,NB,100005,2000,001,2024-03-16,AED,NT45
4500090220,3000,NB,100037,2000,001,2024-02-16,EUR,NT60
4500090221,1000,FO,100052,1000,002,2025-11-07,USD,0001
4500090222,3000,NB,100025,2000,002,2025-07-04,AED,NT60
4500090223,1000,ZSER,100012,1000,004,2024-04-27,AED,NT30
4500090224,2000,FO,100020,2000,002,2025-05-12,AED,NT60
4500090225,2000,ZSER,100049,1000,002,2024-11-08,AED,NT30
4500090226,3000,FO,100013,2000,002,2024-02-07,EUR,0001
4500090227,1000,ZSER,100000,1000,002,2025-11-09,EUR,NT45
4500090228,2000,FO,100014,1000,001,2024-03-05,AED,NT45
4500090229,3000,ZSER,100016,1000,004,2025-08-15,AED,0001
4500090230,3000,NB,100050,1000,004,2025-05-08,USD,NT45
4500090231,3000,ZSER,100010,1000,002,2025-01-05,EUR,NT60
4500090232,2000,NB,100010,1000,001,2025-10-24,USD,NT45
4500090233,3000,NB,100038,2000,001,2025-07-31,USD,0001
4500090234,2000,NB,100014,1000,001,2025-01-22,USD,0001
4500090235,1000,FO,100048,1000,001,2024-04-30,AED,0001
4500090236,1000,FO,100049,2000,003,2024-08-26,USD,NT30
4500090237,3000,FO,100041,2000,003,2024-07-29,USD,NT45
4500090238,3000,FO,100016,2000,002,2024-11-10,AED,NT30
4500090239,3000,ZSER,100039,1000,002,2025-12-14,EUR,NT30
4500090240,1000,FO,100004,1000,001,2024-09-26,AED,0001
4500090241,3000,NB,100032,1000,001,2025-06-12,EUR,NT45
4500090242,2000,FO,100022,1000,001,2025-11-16,AED,NT30
4500090243,2000,NB,100022,1000,004,2024-12-21,EUR,NT30
4500090244,2000,FO,100016,2000,002,2025-12-11,EUR,0001
4500090245,1000,FO,100015,2000,001,2024-10-21,AED,NT45
4500090246,2000,NB,100053,1000,001,2025-09-25,USD,0001
4500090247,2000,ZSER,100039,2000,004,2024-11-18,USD,NT60
4500090248,1000,NB,100020,1000,004,2025-12-06,AED,NT30
4500090249,2000,FO,100026,2000,003,2025-12-18,EUR,NT45
4500090250,3000,NB,100012,2000,001,2024-05-29,USD,0001
4500090251,1000,FO,100030,2000,003,2025-10-06,EUR,NT60
4500090252,3000,FO,100020,2000,001,2025-11-20,EUR,NT60
4500090253,2000,ZSER,100017,2000,004,2025-03-31,USD,NT45
4500090254,1000,NB,100044,2000,001,2024-03-22,USD,NT30
4500090255,3000,FO,100001,2000,004,2024-02-05,EUR,NT60
4500090256,2000,FO,100051,2000,004,2024-04-01,EUR,NT45
4500090257,2000,ZSER,100049,1000,001,2025-03-16,AED,NT60
4500090258,1000,FO,100014,1000,003,2024-09-26,EUR,NT60
4500090259,1000,ZSER,100018,2000,001,2024-10-02,USD,NT30
4500090260,1000,NB,100021,2000,004,2024-03-23,USD,0001
4500090261,1000,ZSER,100024,1000,002,2025-03-29,EUR,NT30
4500090262,2000,FO,100033,2000,002,2024-05-05,EUR,NT30
4500090263,1000,NB,100050,2000,002,2024-09-05,EUR,NT30
4500090264,1000,FO,100034,1000,003,2024-04-19,AED,NT60
4500090265,2000,ZSER,100046,1000,001,2025-04-24,AED,NT45
4500090266,1000,ZSER,100034,2000,002,2025-01-31,AED,NT60
4500090267,3000,FO,100002,2000,003,2025-08-07,USD,NT60
4500090268,1000,FO,100051,2000,003,2025-10-16,AED,NT30
4500090269,3000,NB,100012,1000,004,2025-06-22,AED,NT30
4500090270,2000,ZSER,100028,2000,003,2024-12-26,EUR,0001
4500090271,1000,ZSER,100018,1000,003,2025-09-02,USD,NT60
4500090272,1000,NB,100059,1000,004,2025-08-08,EUR,NT45
4500090273,3000,NB,100036,2000,004,2024-08-10,USD,0001
4500090274,1000,FO,100024,2000,004,2024-03-21,EUR,NT30
4500090275,1000,FO,100034,1000,002,2025-08-01,USD,0001
4500090276,1000,NB,100049,2000,002,2025-12-15,EUR,0001
4500090277,1000,NB,100043,2000,004,2025-08-12,EUR,NT60
4500090278,2000,NB,100039,1000,002,2024-05-29,AED,NT60
4500090279,1000,FO,100021,2000,004,2025-12-11,USD,NT60
4500090280,3000,NB,100044,2000,001,2025-12-16,EUR,NT45
4500090281,3000,NB,100003,1000,004,2025-04-21,AED,NT60
4500090282,1000,NB,100034,2000,001,2024-03-31,USD,NT45
4500090283,3000,FO,100051,2000,001,2024-03-04,AED,NT60
4500090284,3000,NB,100039,2000,002,2025-10-02,AED,NT45
4500090285,1000,FO,100041,1000,001,2025-08-01,USD,NT60
4500090286,1000,NB,100059,1000,002,2024-10-07,USD,NT30
4500090287,2000,NB,100045,2000,004,2025-10-27,EUR,NT45
4500090288,1000,NB,100012,2000,004,2024-07-28,AED,NT60
4500090289,3000,ZSER,100056,2000,001,2024-09-08,AED,0001
4500090290,2000,NB,100049,2000,003,2024-10-19,AED,NT30
4500090291,2000,FO,100034,2000,004,2024-05-18,USD,NT45
4500090292,3000,NB,100024,2000,004,2025-06-07,USD,NT45
4500090293,1000,NB,100018,1000,002,2025-10-03,USD,NT60
4500090294,1000,NB,100038,2000,004,2025-05-20,EUR,0001
4500090295,3000,ZSER,100017,1000,001,2025-09-26,USD,NT45
4500090296,2000,FO,100036,1000,001,2025-09-09,USD,0001
4500090297,2000,NB,100047,1000,003,2025-08-15,EUR,NT60
4500090298,1000,FO,100040,2000,004,2025-06-25,AED,NT60
4500090299,2000,NB,100014,1000,001,2025-12-26,USD,0001
4500090300,2000,ZSER,100002,1000,001,2024-12-07,AED,NT45
4500090301,1000,FO,100001,2000,004,2024-06-28,EUR,NT30
4500090302,2000,ZSER,100003,2000,001,2025-06-17,USD,NT60
4500090303,3000,FO,100055,1000,003,2024-11-11,EUR,NT30
4500090304,2000,FO,100009,2000,003,2024-07-13,USD,NT30
4500090305,1000,FO,100043,2000,001,2025-08-31,USD,NT60
4500090306,1000,FO,100020,2000,003,2024-07-24,EUR,NT30
4500090307,3000,NB,100051,1000,001,2024-10-17,EUR,NT60
4500090308,3000,NB,100045,2000,002,2025-11-17,USD,0001
4500090309,1000,NB,100030,2000,003,2024-08-25,EUR,NT45
4500090310,2000,ZSER,100032,1000,003,2024-04-15,AED,NT30
4500090311,2000,ZSER,100037,2000,002,2025-03-17,USD,NT30
4500090312,1000,ZSER,100005,1000,002,2024-08-10,AED,NT45
4500090313,1000,FO,100032,1000,003,2025-02-17,AED,NT30
4500090314,1000,FO,100055,2000,003,2024-02-01,AED,0001
4500090315,3000,FO,100009,1000,001,2025-05-13,USD,0001
4500090316,2000,ZSER,100032,2000,001,2024-10-02,USD,0001
4500090317,2000,ZSER,100005,1000,003,2024-09-08,AED,NT30
4500090318,3000,ZSER,100047,2000,001,2024-11-07,AED,0001
4500090319,2000,FO,100032,1000,003,2024-03-19,EUR,NT60
4500090320,2000,FO,100009,1000,003,2025-11-05,AED,NT45
4500090321,3000,FO,100013,1000,003,2025-08-14,USD,NT30
4500090322,1000,ZSER,100030,2000,001,2024-09-25,EUR,0001
4500090323,2000,ZSER,100037,1000,002,2025-02-04,AED,NT60
4500090324,1000,ZSER,100028,2000,003,2024-12-25,USD,NT30
4500090325,3000,ZSER,100057,1000,001,2024-08-10,USD,NT45
4500090326,2000,FO,100049,2000,001,2024-03-04,EUR,NT60
4500090327,2000,NB,100009,1000,004,2025-07-07,AED,NT60
4500090328,1000,FO,100049,1000,001,2025-04-01,USD,0001
4500090329,1000,FO,100034,2000,001,2024-08-19,AED,NT60
4500090330,1000,ZSER,100041,1000,004,2024-07-26,AED,NT45
4500090331,2000,FO,100037,1000,003,2024-09-01,EUR,0001
4500090332,1000,NB,100002,2000,002,2025-02-19,AED,NT45
4500090333,1000,NB,100030,1000,001,2025-09-25,USD,NT30
4500090334,3000,ZSER,100027,2000,003,2024-12-11,USD,NT45
4500090335,1000,NB,100015,1000,004,2025-08-18,USD,NT30
4500090336,3000,NB,100044,2000,001,2024-02-08,AED,NT60
4500090337,1000,NB,100013,1000,002,2024-10-10,AED,0001
4500090338,2000,ZSER,100010,1000,001,2024-01-30,USD,0001
4500090339,1000,FO,100057,2000,001,2024-08-13,EUR,NT45
4500090340,1000,NB,100012,1000,003,2024-12-09,USD,NT30
4500090341,3000,FO,100055,2000,003,2024-08-09,USD,0001
4500090342,2000,ZSER,100002,1000,004,2024-02-11,AED,0001
4500090343,3000,ZSER,100029,1000,004,2025-08-07,EUR,NT45
4500090344,2000,ZSER,100005,1000,003,2025-09-27,USD,NT30
4500090345,1000,ZSER,100055,1000,003,2025-12-20,EUR,NT60
4500090346,1000,FO,100051,1000,001,2024-03-08,EUR,NT45
4500090347,2000,FO,100059,2000,004,2024-05-15,AED,NT30
4500090348,2000,FO,100053,2000,002,2025-07-15,EUR,NT45
4500090349,3000,ZSER,100011,1000,002,2024-06-28,USD,NT30
4500090350,3000,ZSER,100011,1000,003,2024-07-29,EUR,NT45
4500090351,3000,FO,100000,2000,004,2025-07-13,EUR,NT45
4500090352,1000,FO,100037,1000,001,2025-06-23,USD,0001
4500090353,1000,ZSER,100038,2000,004,2025-06-07,USD,0001
4500090354,2000,NB,100051,2000,004,2025-03-29,USD,NT30
4500090355,2000,ZSER,100005,2000,004,2024-01-07,USD,0001
4500090356,3000,ZSER,100019,2000,002,2025-05-20,USD,NT30
4500090357,2000,ZSER,100026,1000,001,2024-07-02,USD,NT60
4500090358,1000,NB,100010,2000,004,2025-08-18,AED,NT45
4500090359,3000,NB,100048,2000,003,2024-04-06,AED,NT60
4500090360,3000,NB,100013,1000,001,2024-06-07,EUR,0001
4500090361,3000,FO,100022,1000,004,2024-11-15,AED,NT60
4500090362,1000,NB,100019,1000,004,2024-05-08,AED,NT30
4500090363,1000,ZSER,100012,1000,004,2024-04-20,USD,NT60
4500090364,3000,NB,100050,1000,002,2024-05-06,AED,NT60
4500090365,2000,NB,100037,1000,001,2024-12-22,USD,NT30
4500090366,3000,FO,100058,2000,002,2025-05-31,EUR,NT30
4500090367,1000,ZSER,100007,1000,004,2025-04-22,EUR,NT60
4500090368,3000,FO,100029,2000,002,2025-09-06,AED,0001
4500090369,1000,FO,100005,2000,001,2024-05-02,AED,NT45
4500090370,1000,NB,100054,2000,004,2025-02-17,EUR,NT60
4500090371,1000,NB,100031,2000,003,2025-11-25,USD,NT60
4500090372,1000,FO,100050,2000,004,2025-04-22,AED,NT60
4500090373,3000,ZSER,100002,2000,002,2024-06-30,EUR,0001
4500090374,2000,FO,100034,1000,001,2025-08-08,EUR,NT60
4500090375,2000,FO,100024,2000,004,2024-04-09,EUR,NT30
4500090376,2000,NB,100001,2000,004,2025-07-05,AED,0001
4500090377,3000,FO,100031,1000,003,2025-05-29,EUR,0001
4500090378,1000,ZSER,100036,1000,001,2025-02-15,AED,NT60
4500090379,2000,FO,100020,2000,004,2024-07-23,AED,NT45
4500090380,2000,ZSER,100042,2000,001,2025-04-23,AED,NT45
4500090381,2000,ZSER,100041,1000,004,2024-06-13,USD,NT30
4500090382,1000,NB,100041,2000,002,2024-02-07,USD,NT60
4500090383,3000,ZSER,100057,1000,004,2025-01-07,AED,NT45
4500090384,1000,NB,100016,1000,003,2025-05-23,EUR,0001
4500090385,3000,FO,100003,1000,003,2025-05-17,AED,0001
4500090386,2000,FO,100016,2000,001,2025-07-19,AED,NT45
4500090387,2000,NB,100050,2000,004,2024-02-04,AED,0001
4500090388,3000,ZSER,100048,1000,004,2024-02-23,AED,NT45
4500090389,1000,NB,100005,1000,004,2024-04-23,EUR,0001
4500090390,3000,NB,100041,1000,004,2025-09-18,USD,NT60
4500090391,3000,ZSER,100007,2000,004,2024-01-15,AED,0001
4500090392,2000,NB,100018,2000,002,2025-05-21,AED,NT45
4500090393,1000,NB,100041,2000,002,2025-04-14,EUR,0001
4500090394,2000,FO,100059,1000,001,2024-08-28,EUR,0001
4500090395,3000,ZSER,100005,2000,002,2024-11-20,EUR,NT30
4500090396,1000,FO,100020,2000,002,2025-03-22,AED,0001
4500090397,1000,ZSER,100030,2000,004,2024-09-23,USD,0001
4500090398,1000,ZSER,100029,1000,001,2025-05-19,EUR,NT30
4500090399,3000,ZSER,100037,1000,004,2024-01-05,USD,NT45
4500090400,2000,NB,100042,2000,003,2024-01-06,AED,NT45
4500090401,1000,NB,100025,2000,001,2024-09-18,USD,NT45
4500090402,3000,ZSER,100047,1000,003,2024-11-13,AED,NT30
4500090403,1000,NB,100040,2000,004,2025-03-12,AED,NT45
4500090404,1000,ZSER,100019,2000,002,2024-06-01,AED,0001
4500090405,3000,NB,100022,1000,001,2024-09-17,AED,0001
4500090406,2000,FO,100028,1000,002,2025-09-30,USD,NT30
4500090407,2000,ZSER,100046,2000,004,2025-05-13,EUR,NT30
4500090408,1000,FO,100009,1000,001,2025-10-27,EUR,0001
4500090409,1000,FO,100037,2000,001,2024-09-05,EUR,NT30
4500090410,3000,ZSER,100037,2000,001,2025-09-02,EUR,0001
4500090411,2000,ZSER,100041,2000,001,2024-12-21,USD,NT60
