MBLNR,MJAHR,ZEILE,BWART,MATNR,MENGE,MEINS,WERKS,LIFNR,EBELN,EBELP
5000000033,2025,0001,102,MRO-1001,122.73,EA,1010,100017,4500090097,00010
5000000033,2025,0002,261,MRO-1001,182.09,EA,1020,100017,4500090097,00010
5000000033,2025,0003,101,MRO-1001,133.29,EA,1010,100017,4500090097,00010
5000000034,2025,0001,101,FUEL-2001,125.37,L,1010,100023,4500091928,00010
5000000034,2025,0002,102,FUEL-2001,144.91,L,1020,100023,4500091928,00010
5000000035,2025,0001,101,SPARE-5001,97.3,EA,2010,100056,4500090473,00020
5000000036,2024,0001,261,OFFC-4001,141.04,EA,2010,100055,4500090836,00040
5000000037,2024,0001,102,SPARE-5002,48.38,EA,1020,100046,4500091587,00010
5000000037,2024,0002,101,SPARE-5002,155.65,EA,1020,100046,4500091587,00010
5000000038,2024,0001,102,IT-3001,20.22,EA,2010,100026,4500091890,00010
5000000038,2024,0002,261,IT-3001,79.53,EA,2010,100026,4500091890,00010
5000000039,2024,0001,102,SPARE-5001,166.82,EA,1020,100025,4500090222,00010
5000000040,2024,0001,261,IT-3001,1.93,EA,2010,100055,4500090341,00010
5000000040,2024,0002,102,IT-3001,165.76,EA,1020,100055,4500090341,00010
5000000041,2025,0001,102,OFFC-4001,181.45,EA,1020,100011,4500090479,00040
5000000041,2025,0002,101,OFFC-4001,195.26,EA,1010,100011,4500090479,00040
5000000041,2025,0003,261,OFFC-4001,18.06,EA,1010,100011,4500090479,00040
5000000042,2024,0001,261,SERV-6001,18.37,HR,1020,100033,4500090011,00010
5000000042,2024,0002,102,SERV-6001,66.59,HR,1020,100033,4500090011,00010
5000000042,2024,0003,101,SERV-6001,155.28,HR,1010,100033,4500090011,00010
5000000043,2025,0001,102,SERV-6001,92.17,HR,2010,100059,4500091418,00010
5000000044,2025,0001,261,SERV-6001,187.87,HR,2010,100042,4500091374,00020
5000000044,2025,0002,101,SERV-6001,188.37,HR,2010,100042,4500091374,00020
5000000044,2025,0003,102,SERV-6001,199.64,HR,1020,100042,4500091374,00020
5000000045,2024,0001,101,MRO-1002,76.27,EA,1020,100048,4500091913,00020
5000000046,2025,0001,101,SPARE-5002,90.61,EA,1010,100001,4500091871,00020
5000000046,2025,0002,261,SPARE-5002,54.52,EA,2010,100001,4500091871,00020
5000000047,2025,0001,101,FUEL-2001,86.54,L,1010,100041,4500090808,00020
5000000047,2025,0002,102,FUEL-2001,94.12,L,1020,100041,4500090808,00020
5000000048,2024,0001,261,IT-3001,61.0,EA,2010,100043,4500090883,00010
5000000049,2025,0001,261,IT-3001,19.44,EA,2010,100005,4500090344,00030
5000000050,2024,0001,101,IT-3002,21.69,EA,1020,100045,4500091883,00030
5000000050,2024,0002,101,IT-3002,7.22,EA,1010,100045,4500091883,00030
5000000051,2025,0001,261,OFFC-4001,66.06,EA,2010,100040,4500091931,00020
5000000051,2025,0002,261,OFFC-4001,41.95,EA,1010,100040,4500091931,00020
5000000051,2025,0003,102,OFFC-4001,21.12,EA,1020,100040,4500091931,00020
5000000052,2024,0001,102,SERV-6001,130.39,HR,2010,100050,4500091023,00010
5000000053,2025,0001,101,FUEL-2001,139.66,L,1010,100047,4500090652,00010
5000000054,2025,0001,101,SERV-6001,186.02,HR,1010,100009,4500091979,00030
5000000054,2025,0002,102,SERV-6001,52.98,HR,2010,100009,4500091979,00030
5000000055,2025,0001,261,SERV-6002,127.12,EA,1010,100024,4500090274,00010
5000000056,2024,0001,261,MRO-1001,192.82,EA,2010,100042,4500091054,00020
5000000056,2024,0002,261,MRO-1001,30.28,EA,1020,100042,4500091054,00020
5000000056,2024,0003,261,MRO-1001,27.46,EA,2010,100042,4500091054,00020
5000000057,2025,0001,261,OFFC-4001,9.27,EA,2010,100042,4500091934,00010
5000000057,2025,0002,102,OFFC-4001,69.97,EA,1010,100042,4500091934,00010
5000000057,2025,0003,261,OFFC-4001,111.77,EA,2010,100042,4500091934,00010
5000000058,2025,0001,261,OFFC-4001,36.02,EA,1020,100030,4500090322,00010
5000000058,2025,0002,261,OFFC-4001,121.4,EA,1010,100030,4500090322,00010
5000000059,2024,0001,101,SERV-6002,44.18,EA,2010,100033,4500090980,00020
5000000060,2024,0001,261,SPARE-5001,58.87,EA,1020,100007,4500091420,00020
5000000060,2024,0002,101,SPARE-5001,86.78,EA,1020,100007,4500091420,00020
5000000061,2024,0001,261,SPARE-5002,4.95,EA,2010,100035,4500090033,00020
5000000061,2024,0002,261,SPARE-5002,166.41,EA,1020,100035,4500090033,00020
5000000062,2024,0001,101,SPARE-5002,84.1,EA,1020,100044,4500091536,00040
5000000062,2024,0002,101,SPARE-5002,161.11,EA,1010,100044,4500091536,00040
5000000063,2024,0001,261,IT-3002,137.81,EA,2010,100055,4500090345,00010
5000000064,2024,0001,101,OFFC-4001,170.96,EA,1020,100009,4500091474,00040
5000000064,2024,0002,101,OFFC-4001,111.37,EA,1010,100009,4500091474,00040
5000000065,2024,0001,261,IT-3002,185.2,EA,2010,100038,4500090633,00020
5000000065,2024,0002,102,IT-3002,63.39,EA,2010,100038,4500090633,00020
5000000066,2024,0001,101,IT-3001,177.84,EA,1010,100046,4500091830,00040
5000000066,2024,0002,261,IT-3001,164.31,EA,2010,100046,4500091830,00040
5000000067,2024,0001,102,MRO-1002,160.05,EA,1020,100022,4500091187,00010
5000000067,2024,0002,102,MRO-1002,167.75,EA,1020,100022,4500091187,00010
5000000068,2024,0001,101,FUEL-2001,121.0,L,1020,100010,4500090358,00010
5000000069,2025,0001,102,MRO-1002,88.56,EA,2010,100028,4500090406,00010
5000000069,2025,0002,261,MRO-1002,12.43,EA,1020,100028,4500090406,00010
5000000070,2024,0001,102,IT-3001,79.07,EA,1020,100045,4500090287,00010
5000000070,2024,0002,261,IT-3001,146.52,EA,1010,100045,4500090287,00010
5000000070,2024,0003,261,IT-3001,66.69,EA,1020,100045,4500090287,00010
5000000071,2025,0001,101,FUEL-2001,188.17,L,1010,100007,4500090516,00010
5000000072,2024,0001,102,SPARE-5001,107.62,EA,2010,100015,4500091399,00010
5000000073,2025,0001,102,MRO-1001,50.2,EA,1020,100057,4500091193,00010
5000000073,2025,0002,261,MRO-1001,186.3,EA,2010,100057,4500091193,00010
5000000074,2024,0001,102,FUEL-2001,138.77,L,1010,100035,4500091881,00020
5000000075,2024,0001,101,SERV-6002,92.83,EA,1010,100018,4500091376,00010
5000000076,2024,0001,102,MRO-1001,70.07,EA,1010,100029,4500091434,00040
5000000076,2024,0002,261,MRO-1001,54.6,EA,1020,100029,4500091434,00040
5000000076,2024,0003,101,MRO-1001,85.57,EA,2010,100029,4500091434,00040
5000000077,2025,0001,102,SERV-6002,108.09,EA,1010,100040,4500091710,00010
5000000077,2025,0002,101,SERV-6002,121.74,EA,2010,100040,4500091710,00010
5000000077,2025,0003,102,SERV-6002,141.07,EA,2010,100040,4500091710,00010
5000000078,2024,0001,102,MRO-1001,116.5,EA,2010,100014,4500091090,00040
5000000079,2025,0001,261,IT-3001,24.62,EA,1010,100016,4500090970,00030
5000000079,2025,0002,101,IT-3001,71.89,EA,1020,100016,4500090970,00030
5000000079,2025,0003,261,IT-3001,174.77,EA,1010,100016,4500090970,00030
5000000080,2024,0001,101,SERV-6001,110.5,HR,1020,100025,4500091895,00010
5000000080,2024,0002,102,SERV-6001,53.08,HR,1020,100025,4500091895,00010
5000000081,2025,0001,261,SPARE-5001,138.66,EA,2010,100029,4500090074,00020
5000000081,2025,0002,261,SPARE-5001,93.58,EA,1010,100029,4500090074,00020
5000000081,2025,0003,101,SPARE-5001,74.27,EA,1020,100029,4500090074,00020
5000000082,2024,0001,261,SPARE-5001,176.42,EA,2010,100019,4500091412,00010
5000000082,2024,0002,261,SPARE-5001,98.21,EA,1010,100019,4500091412,00010
5000000083,2025,0001,261,MRO-1002,170.32,EA,1010,100059,4500090001,00030
5000000084,2024,0001,101,SPARE-5001,73.15,EA,1010,100025,4500091596,00010
5000000084,2024,0002,102,SPARE-5001,24.55,EA,2010,100025,4500091596,00010
5000000085,2024,0001,101,IT-3001,28.69,EA,2010,100000,4500090202,00010
5000000085,2024,0002,101,IT-3001,164.76,EA,1010,100000,4500090202,00010
5000000085,2024,0003,261,IT-3001,42.91,EA,1010,100000,4500090202,00010
5000000086,2024,0001,101,IT-3001,156.83,EA,1010,100017,4500090012,00010
5000000087,2024,0001,261,OFFC-4001,114.87,EA,2010,100019,4500090985,00020
5000000088,2025,0001,102,MRO-1002,101.3,EA,2010,100023,4500091137,00030
5000000089,2024,0001,261,IT-3002,154.23,EA,1020,100013,4500090090,00020
5000000089,2024,0002,102,IT-3002,185.72,EA,1020,100013,4500090090,00020
5000000090,2024,0001,101,IT-3001,164.85,EA,1010,100013,4500090915,00030
5000000091,2025,0001,101,SERV-6001,114.58,HR,1010,100046,4500091830,00030
5000000091,2025,0002,101,SERV-6001,142.88,HR,2010,100046,4500091830,00030
5000000092,2025,0001,101,MRO-1002,42.48,EA,1010,100017,4500090646,00010
5000000092,2025,0002,102,MRO-1002,159.14,EA,1020,100017,4500090646,00010
5000000093,2025,0001,102,SPARE-5001,128.13,EA,2010,100023,4500090819,00030
5000000094,2025,0001,261,MRO-1001,97.32,EA,2010,100059,4500090778,00010
5000000094,2025,0002,101,MRO-1001,41.57,EA,2010,100059,4500090778,00010
5000000095,2025,0001,102,SERV-6002,23.1,EA,2010,100028,4500090748,00030
5000000095,2025,0002,101,SERV-6002,166.56,EA,1010,100028,4500090748,00030
5000000095,2025,0003,261,SERV-6002,170.28,EA,1010,100028,4500090748,00030
5000000096,2025,0001,261,IT-3001,38.48,EA,1010,100047,4500090297,00040
5000000096,2025,0002,101,IT-3001,14.34,EA,1020,100047,4500090297,00040
5000000097,2025,0001,101,MRO-1002,132.62,EA,1010,100043,4500091507,00030
5000000097,2025,0002,261,MRO-1002,160.68,EA,1010,100043,4500091507,00030
5000000097,2025,0003,101,MRO-1002,185.16,EA,1010,100043,4500091507,00030
5000000098,2025,0001,261,MRO-1002,28.95,EA,2010,100018,4500091778,00010
5000000099,2024,0001,102,SERV-6002,62.61,EA,2010,100059,4500091160,00020
5000000099,2024,0002,101,SERV-6002,180.8,EA,2010,100059,4500091160,00020
5000000100,2024,0001,102,SERV-6002,50.55,EA,2010,100058,4500090611,00010
5000000100,2024,0002,261,SERV-6002,79.04,EA,1020,100058,4500090611,00010
5000000100,2024,0003,101,SERV-6002,133.05,EA,1010,100058,4500090611,00010
5000000101,2025,0001,101,SERV-6001,14.99,HR,2010,100057,4500091640,00020
5000000102,2025,0001,261,SERV-6002,9.83,EA,2010,100007,4500091127,00040
5000000103,2025,0001,101,OFFC-4001,104.72,EA,1020,100056,4500090077,00020
5000000103,2025,0002,261,OFFC-4001,49.06,EA,1020,100056,4500090077,00020
5000000104,2025,0001,102,MRO-1001,170.18,EA,1020,100034,4500090754,00020
5000000105,2024,0001,102,OFFC-4001,194.07,EA,1020,100019,4500090727,00020
5000000105,2024,0002,101,OFFC-4001,189.66,EA,1020,100019,4500090727,00020
5000000106,2025,0001,102,MRO-1002,78.85,EA,2010,100016,4500091773,00030
5000000106,2025,0002,261,MRO-1002,141.16,EA,1010,100016,4500091773,00030
5000000106,2025,0003,261,MRO-1002,73.08,EA,1020,100016,4500091773,00030
5000000107,2025,0001,261,FUEL-2001,184.64,L,2010,100058,4500091083,00030
5000000108,2025,0001,102,MRO-1002,98.77,EA,1010,100047,4500091190,00010
5000000108,2025,0002,101,MRO-1002,89.87,EA,1010,100047,4500091190,00010
5000000108,2025,0003,102,MRO-1002,21.86,EA,2010,100047,4500091190,00010
5000000109,2025,0001,261,SERV-6002,27.8,EA,1010,100027,4500091801,00020
5000000110,2024,0001,102,SERV-6001,155.7,HR,2010,100039,4500091478,00030
5000000111,2025,0001,101,MRO-1002,6.18,EA,1010,100030,4500091950,00040
5000000111,2025,0002,101,MRO-1002,2.24,EA,1020,100030,4500091950,00040
5000000111,2025,0003,101,MRO-1002,144.9,EA,1010,100030,4500091950,00040
5000000112,2024,0001,261,FUEL-2001,91.32,L,2010,100053,4500091594,00010
5000000113,2025,0001,101,IT-3002,32.0,EA,1010,100016,4500091115,00020
5000000113,2025,0002,102,IT-3002,12.11,EA,1010,100016,4500091115,00020
5000000114,2025,0001,261,MRO-1002,5.6,EA,1010,100004,4500091616,00010
5000000115,2024,0001,102,IT-3002,167.3,EA,2010,100045,4500090509,00030
5000000115,2024,0002,261,IT-3002,35.68,EA,1010,100045,4500090509,00030
5000000116,2024,0001,101,SERV-6002,61.28,EA,2010,100023,4500091601,00020
5000000117,2025,0001,102,MRO-1001,80.15,EA,1010,100023,4500091137,00040
5000000117,2025,0002,261,MRO-1001,190.92,EA,2010,100023,4500091137,00040
5000000118,2025,0001,101,SPARE-5001,150.39,EA,1020,100058,4500091066,00010
5000000118,2025,0002,102,SPARE-5001,183.79,EA,1020,100058,4500091066,00010
5000000119,2025,0001,102,SPARE-5001,187.1,EA,2010,100015,4500091399,00010
5000000119,2025,0002,102,SPARE-5001,109.14,EA,1020,100015,4500091399,00010
5000000120,2024,0001,102,OFFC-4001,135.72,EA,1020,100000,4500091626,00020
5000000120,2024,0002,261,OFFC-4001,1.89,EA,1010,100000,4500091626,00020
5000000120,2024,0003,261,OFFC-4001,81.96,EA,1020,100000,4500091626,00020
5000000121,2024,0001,102,SPARE-5002,14.26,EA,1020,100036,4500090171,00010
5000000121,2024,0002,261,SPARE-5002,128.59,EA,1020,100036,4500090171,00010
5000000122,2025,0001,102,MRO-1001,1.55,EA,1010,100043,4500090447,00040
5000000122,2025,0002,102,MRO-1001,53.21,EA,2010,100043,4500090447,00040
5000000122,2025,0003,102,MRO-1001,123.85,EA,1010,100043,4500090447,00040
5000000123,2024,0001,101,OFFC-4001,138.83,EA,2010,100037,4500091788,00020
5000000123,2024,0002,102,OFFC-4001,44.85,EA,2010,100037,4500091788,00020
5000000124,2025,0001,102,MRO-1001,29.3,EA,1020,100018,4500090592,00010
5000000125,2024,0001,261,SERV-6002,123.29,EA,1010,100054,4500091081,00020
5000000126,2024,0001,101,IT-3001,35.74,EA,2010,100014,4500091094,00020
5000000126,2024,0002,261,IT-3001,57.06,EA,2010,100014,4500091094,00020
5000000126,2024,0003,102,IT-3001,195.83,EA,1010,100014,4500091094,00020
5000000127,2024,0001,261,SERV-6001,93.34,HR,2010,100051,4500091611,00030
5000000127,2024,0002,102,SERV-6001,126.38,HR,1020,100051,4500091611,00030
5000000128,2024,0001,102,FUEL-2001,151.0,L,2010,100055,4500090314,00040
5000000128,2024,0002,261,FUEL-2001,48.84,L,2010,100055,4500090314,00040
5000000129,2024,0001,261,SPARE-5002,172.88,EA,1020,100019,4500091019,00020
5000000129,2024,0002,261,SPARE-5002,122.21,EA,2010,100019,4500091019,00020
5000000130,2024,0001,261,SPARE-5001,129.9,EA,2010,100035,4500090215,00010
5000000130,2024,0002,102,SPARE-5001,29.49,EA,2010,100035,4500090215,00010
5000000131,2025,0001,101,OFFC-4001,114.7,EA,1010,100028,4500091549,00010
5000000132,2025,0001,102,OFFC-4001,50.64,EA,1010,100047,4500090212,00020
5000000132,2025,0002,101,OFFC-4001,16.83,EA,2010,100047,4500090212,00020
5000000132,2025,0003,102,OFFC-4001,48.52,EA,1020,100047,4500090212,00020
5000000133,2025,0001,102,FUEL-2001,134.22,L,1020,100011,4500090082,00020
5000000134,2025,0001,261,FUEL-2001,91.0,L,2010,100054,4500091048,00040
5000000134,2025,0002,102,FUEL-2001,13.26,L,2010,100054,4500091048,00040
5000000134,2025,0003,102,FUEL-2001,123.78,L,1020,100054,4500091048,00040
5000000135,2024,0001,261,SPARE-5001,147.34,EA,1010,100000,4500091705,00020
5000000135,2024,0002,101,SPARE-5001,4.28,EA,1020,100000,4500091705,00020
5000000136,2024,0001,261,SERV-6001,38.21,HR,2010,100022,4500090524,00010
5000000137,2024,0001,261,SPARE-5001,89.15,EA,1020,100013,4500091329,00010
5000000137,2024,0002,102,SPARE-5001,7.93,EA,1020,100013,4500091329,00010
5000000138,2024,0001,101,MRO-1001,92.14,EA,1020,100003,4500091009,00020
5000000138,2024,0002,102,MRO-1001,196.3,EA,1020,100003,4500091009,00020
5000000138,2024,0003,261,MRO-1001,199.07,EA,2010,100003,4500091009,00020
5000000139,2025,0001,261,OFFC-4001,85.33,EA,1020,100021,4500090096,00030
5000000140,2024,0001,261,MRO-1001,53.25,EA,2010,100048,4500090359,00020
5000000141,2024,0001,261,MRO-1002,166.12,EA,2010,100016,4500090660,00020
5000000141,2024,0002,101,MRO-1002,97.39,EA,2010,100016,4500090660,00020
5000000142,2025,0001,102,MRO-1001,120.21,EA,2010,100016,4500090199,00020
5000000143,2025,0001,101,MRO-1002,87.56,EA,1010,100000,4500090351,00040
5000000143,2025,0002,261,MRO-1002,129.36,EA,1020,100000,4500090351,00040
5000000143,2025,0003,102,MRO-1002,25.76,EA,1010,100000,4500090351,00040
5000000144,2025,0001,101,IT-3001,6.4,EA,2010,100037,4500090546,00020
5000000144,2025,0002,102,IT-3001,73.72,EA,2010,100037,4500090546,00020
5000000144,2025,0003,261,IT-3001,155.75,EA,2010,100037,4500090546,00020
5000000145,2024,0001,102,SPARE-5002,120.58,EA,1010,100011,4500090350,00010
5000000145,2024,0002,261,SPARE-5002,69.87,EA,2010,100011,4500090350,00010
5000000145,2024,0003,261,SPARE-5002,85.2,EA,1010,100011,4500090350,00010
5000000146,2024,0001,261,MRO-1002,17.92,EA,2010,100029,4500091560,00040
5000000146,2024,0002,261,MRO-1002,147.36,EA,2010,100029,4500091560,00040
5000000146,2024,0003,261,MRO-1002,100.1,EA,1010,100029,4500091560,00040
5000000147,2025,0001,261,MRO-1002,46.87,EA,1020,100013,4500090360,00010
5000000148,2024,0001,101,SPARE-5002,19.66,EA,1010,100019,4500091993,00030
5000000149,2024,0001,261,MRO-1002,93.6,EA,1010,100039,4500090535,00010
5000000150,2024,0001,101,SPARE-5002,149.39,EA,1020,100026,4500090467,00010
5000000151,2025,0001,101,MRO-1001,35.36,EA,1010,100035,4500090134,00010
5000000151,2025,0002,261,MRO-1001,187.71,EA,1010,100035,4500090134,00010
5000000151,2025,0003,101,MRO-1001,61.74,EA,2010,100035,4500090134,00010
5000000152,2025,0001,261,MRO-1002,98.67,EA,2010,100053,4500090954,00010
5000000153,2024,0001,101,SERV-6002,160.82,EA,1010,100009,4500090315,00040
5000000153,2024,0002,102,SERV-6002,194.51,EA,2010,100009,4500090315,00040
5000000154,2025,0001,261,SPARE-5001,156.57,EA,2010,100002,4500091113,00010
5000000155,2025,0001,101,SPARE-5002,100.21,EA,2010,100000,4500090602,00010
5000000155,2025,0002,101,SPARE-5002,108.3,EA,2010,100000,4500090602,00010
5000000156,2025,0001,102,IT-3001,135.52,EA,1010,100012,4500090715,00010
5000000156,2025,0002,102,IT-3001,7.95,EA,1010,100012,4500090715,00010
5000000157,2025,0001,261,IT-3002,161.56,EA,1010,100046,4500091114,00030
5000000157,2025,0002,102,IT-3002,45.42,EA,1010,100046,4500091114,00030
5000000158,2025,0001,101,MRO-1002,152.25,EA,1010,100023,4500091137,00030
5000000158,2025,0002,101,MRO-1002,126.01,EA,1020,100023,4500091137,00030
5000000158,2025,0003,101,MRO-1002,123.03,EA,2010,100023,4500091137,00030
5000000159,2025,0001,102,MRO-1001,35.96,EA,1010,100049,4500091593,00010
5000000159,2025,0002,102,MRO-1001,190.66,EA,1010,100049,4500091593,00010
5000000160,2024,0001,101,MRO-1002,54.3,EA,1020,100040,4500090176,00010
5000000161,2024,0001,101,OFFC-4001,78.39,EA,2010,100047,4500091232,00020
5000000161,2024,0002,101,OFFC-4001,24.14,EA,2010,100047,4500091232,00020
5000000161,2024,0003,101,OFFC-4001,177.84,EA,1020,100047,4500091232,00020
5000000162,2025,0001,102,SPARE-5002,52.0,EA,2010,100040,4500090142,00010
5000000163,2025,0001,261,IT-3001,27.38,EA,2010,100053,4500091230,00010
5000000164,2025,0001,261,FUEL-2001,186.15,L,1020,100046,4500090265,00030
5000000164,2025,0002,102,FUEL-2001,55.04,L,2010,100046,4500090265,00030
5000000164,2025,0003,261,FUEL-2001,56.32,L,2010,100046,4500090265,00030
5000000165,2024,0001,261,SERV-6001,179.96,HR,1010,100046,4500091441,00010
5000000166,2024,0001,101,IT-3001,90.11,EA,1020,100042,4500090935,00010
5000000166,2024,0002,102,IT-3001,46.96,EA,1020,100042,4500090935,00010
5000000166,2024,0003,261,IT-3001,1.38,EA,1020,100042,4500090935,00010
5000000167,2024,0001,102,MRO-1002,84.71,EA,1020,100001,4500091256,00010
5000000167,2024,0002,102,MRO-1002,62.58,EA,1010,100001,4500091256,00010
5000000168,2025,0001,261,FUEL-2001,177.59,L,2010,100059,4500090949,00010
5000000169,2025,0001,102,IT-3001,173.05,EA,2010,100021,4500091750,00030
5000000169,2025,0002,261,IT-3001,46.64,EA,1010,100021,4500091750,00030
5000000170,2024,0001,102,MRO-1001,31.9,EA,1010,100031,4500090801,00030
5000000170,2024,0002,261,MRO-1001,20.49,EA,1020,100031,4500090801,00030
5000000170,2024,0003,261,MRO-1001,122.26,EA,1020,100031,4500090801,00030
5000000171,2024,0001,102,MRO-1001,97.26,EA,1010,100042,4500091111,00010
5000000171,2024,0002,261,MRO-1001,155.66,EA,1020,100042,4500091111,00010
5000000172,2025,0001,102,SPARE-5001,24.0,EA,1020,100041,4500090393,00010
5000000173,2025,0001,101,SPARE-5001,38.02,EA,1020,100057,4500090004,00020
5000000173,2025,0002,101,SPARE-5001,36.91,EA,1020,100057,4500090004,00020
