EBELN,EBELP,MATNR,TXZ01,WERKS,MATKL,MENGE,MEINS,NETPR,PEINH,NETWR
4500090007,00010,MRO-1001,Hydraulic Pump Assembly,2010,MRO,260.44,EA,6455.96,1,1681390.22
4500090007,00020,IT-3001,Ruggedized Laptop,2010,IT,182.75,EA,578.39,1,105700.77
4500090007,00030,OFFC-4001,Printer Toner Cartridge,1010,OFFC,311.95,EA,5313.83,1,1657649.27
4500090007,00040,IT-3002,Network Switch 24-port,1020,IT,254.05,EA,5341.81,1,1357086.83
4500090008,00010,SERV-6002,Cleaning Service Cycle,1010,SERV,284.98,EA,3260.48,1,929171.59
4500090008,00020,IT-3002,Network Switch 24-port,2010,IT,144.17,EA,3450.51,1,497460.03
4500090009,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,329.77,L,2284.62,1,753399.14
4500090009,00020,SERV-6002,Cleaning Service Cycle,1010,SERV,168.26,EA,6551.02,1,1102274.63
4500090009,00030,IT-3002,Network Switch 24-port,1010,IT,113.1,EA,1609.06,1,181984.69
4500090009,00040,MRO-1001,Hydraulic Pump Assembly,1010,MRO,123.18,EA,3811.59,1,469511.66
4500090010,00010,FUEL-2001,Jet A-1 Fuel,1010,FUEL,328.37,L,64.25,1,21097.77
4500090010,00020,SPARE-5001,Turbine Blade Set,2010,SPARE,110.2,EA,6436.8,1,709335.36
4500090011,00010,SERV-6001,Ground Handling Labor Hr,1020,SERV,493.96,HR,4771.71,1,2357033.87
4500090011,00020,SERV-6002,Cleaning Service Cycle,1020,SERV,407.69,EA,7138.32,1,2910221.68
4500090011,00030,SERV-6001,Ground Handling Labor Hr,1020,SERV,223.51,HR,1290.08,1,288345.78
4500090011,00040,SPARE-5002,Brake Disc Assembly,2010,SPARE,130.34,EA,1992.97,1,259763.71
4500090012,00010,IT-3001,Ruggedized Laptop,2010,IT,136.59,EA,2571.28,1,351211.14
4500090012,00020,MRO-1002,Landing Gear Bushing,2010,MRO,70.05,EA,1865.47,1,130676.17
4500090012,00030,FUEL-2001,Jet A-1 Fuel,1020,FUEL,353.5,L,532.55,1,188256.42
4500090013,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,190.81,EA,67.05,1,12793.81
4500090014,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,15.48,EA,2702.31,1,41831.76
4500090014,00020,SPARE-5001,Turbine Blade Set,1010,SPARE,362.37,EA,6727.24,1,2437749.96
4500090014,00030,SERV-6002,Cleaning Service Cycle,2010,SERV,267.53,EA,7257.29,1,1941542.79
4500090014,00040,SERV-6002,Cleaning Service Cycle,1020,SERV,331.84,EA,689.9,1,228936.42
4500090015,00010,OFFC-4001,Printer Toner Cartridge,1020,OFFC,169.41,EA,7039.53,1,1192566.78
4500090015,00020,SPARE-5001,Turbine Blade Set,1010,SPARE,126.88,EA,673.61,1,85467.64
4500090015,00030,SERV-6001,Ground Handling Labor Hr,1010,SERV,26.99,HR,7616.32,1,205564.48
4500090015,00040,MRO-1002,Landing Gear Bushing,1010,MRO,390.84,EA,5221.0,1,2040575.64
4500090016,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,473.93,EA,3730.97,1,1768218.61
4500090017,00010,IT-3002,Network Switch 24-port,1020,IT,288.32,EA,7266.05,1,2094947.54
4500090018,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,391.54,EA,2790.69,1,1092666.76
4500090019,00010,SPARE-5001,Turbine Blade Set,1020,SPARE,480.43,EA,5091.97,1,2446335.15
4500090020,00010,OFFC-4001,Printer Toner Cartridge,1010,OFFC,426.0,EA,6649.23,1,2832571.98
4500090020,00020,IT-3002,Network Switch 24-port,1020,IT,440.93,EA,1966.03,1,866881.61
4500090020,00030,SERV-6002,Cleaning Service Cycle,1010,SERV,305.56,EA,3044.33,1,930225.47
4500090021,00010,SERV-6002,Cleaning Service Cycle,1010,SERV,350.89,EA,2224.62,1,780596.91
4500090021,00020,SERV-6001,Ground Handling Labor Hr,2010,SERV,474.08,HR,703.19,1,333368.32
4500090021,00030,SPARE-5001,Turbine Blade Set,2010,SPARE,244.8,EA,6070.15,1,1485972.72
4500090022,00010,SPARE-5001,Turbine Blade Set,2010,SPARE,346.2,EA,2463.52,1,852870.62
4500090022,00020,OFFC-4001,Printer Toner Cartridge,1020,OFFC,237.16,EA,4256.76,1,1009533.2
4500090023,00010,MRO-1002,Landing Gear Bushing,2010,MRO,360.92,EA,2538.07,1,916040.22
4500090023,00020,SERV-6001,Ground Handling Labor Hr,1010,SERV,475.49,HR,5527.51,1,2628275.73
4500090024,00010,OFFC-4001,Printer Toner Cartridge,2010,OFFC,90.54,EA,132.9,1,12032.77
4500090024,00020,FUEL-2001,Jet A-1 Fuel,2010,FUEL,137.88,L,7794.87,1,1074756.68
4500090025,00010,SPARE-5002,Brake Disc Assembly,1010,SPARE,220.79,EA,1491.22,1,329246.46
4500090025,00020,IT-3002,Network Switch 24-port,1010,IT,470.59,EA,3832.28,1,1803432.65
4500090025,00030,SPARE-5001,Turbine Blade Set,2010,SPARE,246.38,EA,4624.63,1,1139416.34
4500090025,00040,MRO-1001,Hydraulic Pump Assembly,1020,MRO,76.71,EA,6492.91,1,498071.13
4500090026,00010,SPARE-5002,Brake Disc Assembly,1020,SPARE,149.38,EA,4716.43,1,704540.31
4500090026,00020,IT-3002,Network Switch 24-port,2010,IT,284.75,EA,500.64,1,142557.24
4500090026,00030,MRO-1002,Landing Gear Bushing,1010,MRO,473.85,EA,1678.15,1,795191.38
4500090026,00040,IT-3002,Network Switch 24-port,1010,IT,330.55,EA,1273.32,1,420895.93
4500090027,00010,MRO-1001,Hydraulic Pump Assembly,2010,MRO,116.51,EA,5661.51,1,659622.53
4500090027,00020,SPARE-5002,Brake Disc Assembly,1020,SPARE,36.52,EA,1882.72,1,68756.93
4500090027,00030,SERV-6002,Cleaning Service Cycle,1020,SERV,330.93,EA,7470.67,1,2472268.82
4500090028,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,396.52,L,4768.45,1,1890785.79
4500090029,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,270.45,HR,3513.32,1,950177.39
4500090029,00020,MRO-1001,Hydraulic Pump Assembly,2010,MRO,444.82,EA,5881.58,1,2616244.42
4500090029,00030,IT-3002,Network Switch 24-port,2010,IT,13.91,EA,1846.82,1,25689.27
4500090030,00010,IT-3002,Network Switch 24-port,2010,IT,91.56,EA,4690.93,1,429501.55
4500090030,00020,SPARE-5002,Brake Disc Assembly,1020,SPARE,484.56,EA,3770.68,1,1827120.7
4500090030,00030,OFFC-4001,Printer Toner Cartridge,1010,OFFC,161.21,EA,854.71,1,137787.8
4500090030,00040,OFFC-4001,Printer Toner Cartridge,2010,OFFC,206.41,EA,3973.84,1,820240.31
4500090031,00010,SPARE-5001,Turbine Blade Set,1010,SPARE,432.59,EA,6602.92,1,2856357.16
4500090032,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,380.24,EA,1644.39,1,625262.85
4500090032,00020,FUEL-2001,Jet A-1 Fuel,2010,FUEL,463.91,L,3516.17,1,1631186.42
4500090032,00030,SPARE-5002,Brake Disc Assembly,2010,SPARE,61.59,EA,7785.71,1,479521.88
4500090032,00040,IT-3001,Ruggedized Laptop,1010,IT,355.18,EA,2499.79,1,887875.41
4500090033,00010,IT-3002,Network Switch 24-port,1020,IT,254.93,EA,2201.93,1,561338.01
4500090033,00020,SPARE-5002,Brake Disc Assembly,1020,SPARE,122.62,EA,4419.1,1,541870.04
4500090033,00030,IT-3001,Ruggedized Laptop,1010,IT,461.01,EA,4075.76,1,1878966.12
4500090033,00040,MRO-1002,Landing Gear Bushing,1020,MRO,138.85,EA,6324.25,1,878122.11
4500090034,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,269.75,EA,2774.09,1,748310.78
4500090034,00020,SERV-6001,Ground Handling Labor Hr,1010,SERV,189.23,HR,7464.16,1,1412443.0
4500090035,00010,SPARE-5001,Turbine Blade Set,2010,SPARE,193.65,EA,5316.24,1,1029489.88
4500090035,00020,FUEL-2001,Jet A-1 Fuel,2010,FUEL,248.17,L,315.42,1,78277.78
4500090035,00030,SERV-6002,Cleaning Service Cycle,1020,SERV,166.67,EA,820.91,1,136821.07
4500090035,00040,MRO-1002,Landing Gear Bushing,2010,MRO,263.45,EA,3666.29,1,965884.1
4500090036,00010,MRO-1002,Landing Gear Bushing,2010,MRO,426.03,EA,6821.68,1,2906240.33
4500090036,00020,SPARE-5001,Turbine Blade Set,1020,SPARE,477.12,EA,5021.86,1,2396029.84
4500090036,00030,SERV-6001,Ground Handling Labor Hr,2010,SERV,18.91,HR,566.0,1,10703.06
4500090036,00040,IT-3002,Network Switch 24-port,1020,IT,498.72,EA,5979.2,1,2981946.62
4500090037,00010,MRO-1001,Hydraulic Pump Assembly,1020,MRO,162.86,EA,467.83,1,76190.79
4500090038,00010,SERV-6002,Cleaning Service Cycle,1010,SERV,435.55,EA,4965.29,1,2162632.06
4500090039,00010,SPARE-5002,Brake Disc Assembly,1010,SPARE,450.7,EA,5427.33,1,2446097.63
4500090040,00010,IT-3002,Network Switch 24-port,1020,IT,100.41,EA,3089.85,1,310251.84
4500090040,00020,MRO-1002,Landing Gear Bushing,2010,MRO,119.37,EA,4583.94,1,547184.92
4500090040,00030,IT-3002,Network Switch 24-port,2010,IT,496.35,EA,2375.94,1,1179297.82
4500090040,00040,SPARE-5001,Turbine Blade Set,2010,SPARE,137.97,EA,4536.11,1,625847.1
4500090041,00010,IT-3001,Ruggedized Laptop,2010,IT,310.82,EA,5428.56,1,1687305.02
4500090041,00020,FUEL-2001,Jet A-1 Fuel,2010,FUEL,314.5,L,7229.16,1,2273570.82
4500090042,00010,SPARE-5001,Turbine Blade Set,2010,SPARE,88.64,EA,1074.64,1,95256.09
4500090042,00020,OFFC-4001,Printer Toner Cartridge,1010,OFFC,265.9,EA,7309.63,1,1943630.62
4500090042,00030,IT-3002,Network Switch 24-port,1020,IT,457.11,EA,7554.62,1,3453292.35
4500090043,00010,MRO-1002,Landing Gear Bushing,2010,MRO,395.55,EA,131.07,1,51844.74
4500090043,00020,MRO-1002,Landing Gear Bushing,2010,MRO,227.94,EA,5389.17,1,1228407.41
4500090043,00030,IT-3002,Network Switch 24-port,1020,IT,292.7,EA,6582.89,1,1926811.9
4500090044,00010,SPARE-5002,Brake Disc Assembly,1020,SPARE,454.78,EA,2431.48,1,1105788.47
4500090045,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,68.7,HR,3640.08,1,250073.5
4500090045,00020,SERV-6001,Ground Handling Labor Hr,1010,SERV,210.14,HR,5943.31,1,1248927.16
4500090046,00010,IT-3001,Ruggedized Laptop,1020,IT,222.25,EA,7605.43,1,1690306.82
4500090046,00020,MRO-1002,Landing Gear Bushing,2010,MRO,490.48,EA,2951.33,1,1447568.34
4500090046,00030,OFFC-4001,Printer Toner Cartridge,1010,OFFC,31.21,EA,2221.53,1,69333.95
4500090047,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,393.7,L,1657.54,1,652573.5
4500090047,00020,IT-3001,Ruggedized Laptop,1010,IT,293.61,EA,6508.16,1,1910860.86
4500090048,00010,MRO-1002,Landing Gear Bushing,1010,MRO,330.87,EA,225.73,1,74687.29
4500090048,00020,OFFC-4001,Printer Toner Cartridge,1020,OFFC,395.2,EA,1918.69,1,758266.29
4500090049,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,224.69,EA,2909.07,1,653638.94
4500090050,00010,SPARE-5002,Brake Disc Assembly,1010,SPARE,423.8,EA,3421.66,1,1450099.51
4500090051,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,138.23,L,5071.95,1,701095.65
4500090052,00010,MRO-1002,Landing Gear Bushing,2010,MRO,426.54,EA,5214.31,1,2224111.79
4500090053,00010,SPARE-5001,Turbine Blade Set,1020,SPARE,365.08,EA,2514.14,1,917862.23
4500090053,00020,IT-3002,Network Switch 24-port,1020,IT,187.78,EA,1238.06,1,232482.91
4500090053,00030,MRO-1002,Landing Gear Bushing,1020,MRO,46.52,EA,701.21,1,32620.29
4500090053,00040,MRO-1002,Landing Gear Bushing,1010,MRO,372.55,EA,2993.72,1,1115310.39
4500090054,00010,MRO-1001,Hydraulic Pump Assembly,1020,MRO,484.23,EA,4811.27,1,2329761.27
4500090054,00020,MRO-1002,Landing Gear Bushing,2010,MRO,289.38,EA,1717.66,1,497056.45
4500090054,00030,SPARE-5002,Brake Disc Assembly,2010,SPARE,112.9,EA,883.58,1,99756.18
4500090054,00040,OFFC-4001,Printer Toner Cartridge,1010,OFFC,58.33,EA,2242.97,1,130832.44
4500090055,00010,IT-3002,Network Switch 24-port,1010,IT,460.85,EA,2821.17,1,1300136.19
4500090055,00020,FUEL-2001,Jet A-1 Fuel,1010,FUEL,283.59,L,3218.26,1,912666.35
4500090055,00030,MRO-1001,Hydraulic Pump Assembly,1020,MRO,46.79,EA,4253.25,1,199009.57
4500090056,00010,MRO-1001,Hydraulic Pump Assembly,1010,MRO,78.63,EA,6040.4,1,474956.65
4500090057,00010,IT-3002,Network Switch 24-port,1020,IT,108.57,EA,4108.52,1,446062.02
4500090057,00020,SPARE-5001,Turbine Blade Set,2010,SPARE,56.33,EA,5432.18,1,305994.7
4500090057,00030,SPARE-5002,Brake Disc Assembly,1010,SPARE,263.94,EA,2481.19,1,654885.29
4500090057,00040,SPARE-5001,Turbine Blade Set,1010,SPARE,492.24,EA,457.16,1,225032.44
4500090058,00010,SPARE-5001,Turbine Blade Set,2010,SPARE,88.67,EA,3054.06,1,270803.5
4500090058,00020,IT-3001,Ruggedized Laptop,1020,IT,250.63,EA,6670.17,1,1671744.71
4500090058,00030,MRO-1002,Landing Gear Bushing,1020,MRO,199.14,EA,5941.49,1,1183188.32
4500090058,00040,MRO-1001,Hydraulic Pump Assembly,1020,MRO,230.42,EA,641.34,1,147777.56
4500090059,00010,OFFC-4001,Printer Toner Cartridge,1020,OFFC,86.76,EA,7581.96,1,657810.85
4500090060,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,40.24,HR,6966.78,1,280343.23
4500090060,00020,OFFC-4001,Printer Toner Cartridge,1010,OFFC,111.56,EA,6237.36,1,695839.88
4500090060,00030,SERV-6001,Ground Handling Labor Hr,1010,SERV,316.98,HR,4254.23,1,1348505.83
4500090060,00040,OFFC-4001,Printer Toner Cartridge,2010,OFFC,176.2,EA,7666.62,1,1350858.44
4500090061,00010,MRO-1002,Landing Gear Bushing,1020,MRO,89.4,EA,6187.33,1,553147.3
4500090061,00020,SPARE-5002,Brake Disc Assembly,1020,SPARE,377.47,EA,6083.82,1,2296459.54
4500090062,00010,SPARE-5002,Brake Disc Assembly,1020,SPARE,221.66,EA,2436.51,1,540076.81
4500090063,00010,MRO-1001,Hydraulic Pump Assembly,2010,MRO,185.0,EA,2310.87,1,427510.95
4500090064,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,326.27,EA,2585.78,1,843662.44
4500090064,00020,SERV-6001,Ground Handling Labor Hr,1010,SERV,76.28,HR,513.75,1,39188.85
4500090064,00030,OFFC-4001,Printer Toner Cartridge,2010,OFFC,491.21,EA,692.95,1,340383.97
4500090064,00040,FUEL-2001,Jet A-1 Fuel,1020,FUEL,20.53,L,5666.82,1,116339.81
4500090065,00010,OFFC-4001,Printer Toner Cartridge,2010,OFFC,339.77,EA,437.88,1,148778.49
4500090065,00020,OFFC-4001,Printer Toner Cartridge,2010,OFFC,33.89,EA,774.16,1,26236.28
4500090065,00030,SPARE-5001,Turbine Blade Set,2010,SPARE,142.79,EA,5795.39,1,827523.74
4500090065,00040,SERV-6002,Cleaning Service Cycle,2010,SERV,436.77,EA,2680.23,1,1170644.06
4500090066,00010,SERV-6001,Ground Handling Labor Hr,1010,SERV,188.96,HR,6337.46,1,1197526.44
4500090066,00020,SERV-6001,Ground Handling Labor Hr,2010,SERV,47.63,HR,5370.24,1,255784.53
4500090066,00030,OFFC-4001,Printer Toner Cartridge,1010,OFFC,10.1,EA,2484.75,1,25095.97
4500090067,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,385.67,HR,6684.26,1,2577918.55
4500090068,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,404.71,EA,1341.0,1,542716.11
4500090068,00020,MRO-1001,Hydraulic Pump Assembly,1010,MRO,206.02,EA,5417.38,1,1116088.63
4500090069,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,452.08,EA,1568.25,1,708974.46
4500090069,00020,SERV-6002,Cleaning Service Cycle,1020,SERV,492.24,EA,3704.21,1,1823360.33
4500090069,00030,SPARE-5001,Turbine Blade Set,1010,SPARE,251.95,EA,3360.91,1,846781.27
4500090070,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,467.21,HR,5696.98,1,2661686.03
4500090070,00020,MRO-1002,Landing Gear Bushing,1020,MRO,143.25,EA,6109.67,1,875210.23
4500090070,00030,SPARE-5002,Brake Disc Assembly,1020,SPARE,452.75,EA,1195.84,1,541416.56
4500090071,00010,IT-3001,Ruggedized Laptop,1010,IT,193.7,EA,671.21,1,130013.38
4500090071,00020,MRO-1001,Hydraulic Pump Assembly,2010,MRO,160.02,EA,810.68,1,129725.01
4500090071,00030,OFFC-4001,Printer Toner Cartridge,1020,OFFC,395.9,EA,1118.04,1,442632.04
4500090072,00010,MRO-1001,Hydraulic Pump Assembly,2010,MRO,128.71,EA,6683.01,1,860170.22
4500090073,00010,MRO-1001,Hydraulic Pump Assembly,2010,MRO,119.98,EA,5118.83,1,614157.22
4500090074,00010,SPARE-5001,Turbine Blade Set,2010,SPARE,1.78,EA,2835.47,1,5047.14
4500090074,00020,SPARE-5001,Turbine Blade Set,2010,SPARE,94.47,EA,5352.35,1,505636.5
4500090074,00030,OFFC-4001,Printer Toner Cartridge,2010,OFFC,34.77,EA,4217.95,1,146658.12
4500090075,00010,IT-3002,Network Switch 24-port,1010,IT,373.91,EA,2869.61,1,1072975.88
4500090075,00020,OFFC-4001,Printer Toner Cartridge,1010,OFFC,121.32,EA,5263.69,1,638590.87
4500090075,00030,SERV-6002,Cleaning Service Cycle,1010,SERV,367.86,EA,2673.5,1,983473.71
4500090076,00010,FUEL-2001,Jet A-1 Fuel,1020,FUEL,32.49,L,6214.0,1,201892.86
4500090076,00020,MRO-1001,Hydraulic Pump Assembly,1010,MRO,147.43,EA,369.57,1,54485.71
4500090077,00010,IT-3002,Network Switch 24-port,2010,IT,179.13,EA,6251.12,1,1119763.13
4500090077,00020,OFFC-4001,Printer Toner Cartridge,1020,OFFC,137.34,EA,6398.75,1,878804.33
4500090078,00010,OFFC-4001,Printer Toner Cartridge,1010,OFFC,462.23,EA,4163.82,1,1924642.52
4500090078,00020,SPARE-5001,Turbine Blade Set,1010,SPARE,40.38,EA,4827.58,1,194937.68
4500090078,00030,SERV-6001,Ground Handling Labor Hr,1020,SERV,147.59,HR,838.73,1,123788.16
4500090078,00040,IT-3002,Network Switch 24-port,1020,IT,153.94,EA,4828.92,1,743363.94
4500090079,00010,IT-3002,Network Switch 24-port,1010,IT,320.1,EA,6335.99,1,2028150.4
4500090079,00020,MRO-1002,Landing Gear Bushing,2010,MRO,335.92,EA,3261.56,1,1095623.24
4500090079,00030,FUEL-2001,Jet A-1 Fuel,2010,FUEL,476.44,L,1159.38,1,552375.01
4500090079,00040,SPARE-5002,Brake Disc Assembly,2010,SPARE,18.36,EA,556.52,1,10217.71
4500090080,00010,OFFC-4001,Printer Toner Cartridge,1010,OFFC,222.53,EA,633.55,1,140983.88
4500090080,00020,SERV-6001,Ground Handling Labor Hr,1020,SERV,184.11,HR,2528.8,1,465577.37
4500090080,00030,IT-3001,Ruggedized Laptop,1010,IT,480.3,EA,226.79,1,108927.24
4500090081,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,143.5,EA,7333.5,1,1052357.25
4500090081,00020,IT-3001,Ruggedized Laptop,1020,IT,62.2,EA,6825.55,1,424549.21
4500090082,00010,IT-3002,Network Switch 24-port,2010,IT,425.83,EA,5700.24,1,2427333.2
4500090082,00020,FUEL-2001,Jet A-1 Fuel,1010,FUEL,397.05,L,4079.87,1,1619912.38
4500090082,00030,IT-3001,Ruggedized Laptop,1020,IT,396.24,EA,1909.15,1,756481.6
4500090083,00010,MRO-1002,Landing Gear Bushing,2010,MRO,155.34,EA,7996.77,1,1242218.25
4500090084,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,340.37,EA,2769.23,1,942562.82
4500090084,00020,SERV-6002,Cleaning Service Cycle,1020,SERV,91.8,EA,7730.79,1,709686.52
4500090084,00030,SERV-6001,Ground Handling Labor Hr,1010,SERV,455.45,HR,462.19,1,210504.44
4500090084,00040,SERV-6001,Ground Handling Labor Hr,1020,SERV,77.35,HR,1333.96,1,103181.81
4500090085,00010,FUEL-2001,Jet A-1 Fuel,1010,FUEL,312.89,L,4923.14,1,1540401.27
4500090085,00020,SERV-6001,Ground Handling Labor Hr,2010,SERV,320.85,HR,4742.63,1,1521672.84
4500090085,00030,FUEL-2001,Jet A-1 Fuel,2010,FUEL,86.43,L,5003.34,1,432438.68
4500090086,00010,SERV-6002,Cleaning Service Cycle,1020,SERV,208.88,EA,5119.15,1,1069288.05
4500090086,00020,SERV-6001,Ground Handling Labor Hr,1020,SERV,145.55,HR,7654.07,1,1114049.89
4500090087,00010,SPARE-5002,Brake Disc Assembly,1020,SPARE,208.4,EA,3726.25,1,776550.5
4500090087,00020,SERV-6002,Cleaning Service Cycle,1020,SERV,72.69,EA,6894.65,1,501172.11
4500090088,00010,MRO-1002,Landing Gear Bushing,1010,MRO,134.47,EA,1998.39,1,268723.5
4500090088,00020,MRO-1001,Hydraulic Pump Assembly,2010,MRO,145.82,EA,3085.52,1,449930.53
4500090088,00030,SPARE-5001,Turbine Blade Set,1010,SPARE,124.89,EA,6925.15,1,864881.98
4500090088,00040,OFFC-4001,Printer Toner Cartridge,1010,OFFC,466.94,EA,5774.6,1,2696391.72
4500090089,00010,MRO-1002,Landing Gear Bushing,1010,MRO,472.67,EA,4053.45,1,1915944.21
4500090090,00010,SERV-6001,Ground Handling Labor Hr,1010,SERV,5.08,HR,877.83,1,4459.38
4500090090,00020,IT-3002,Network Switch 24-port,1020,IT,364.03,EA,6115.58,1,2226254.59
4500090090,00030,MRO-1001,Hydraulic Pump Assembly,1010,MRO,200.89,EA,4570.85,1,918238.06
4500090091,00010,FUEL-2001,Jet A-1 Fuel,1020,FUEL,487.57,L,3163.35,1,1542354.56
4500090092,00010,OFFC-4001,Printer Toner Cartridge,1010,OFFC,402.18,EA,4164.28,1,1674790.13
4500090092,00020,SERV-6002,Cleaning Service Cycle,2010,SERV,446.67,EA,1135.45,1,507171.45
4500090093,00010,SPARE-5002,Brake Disc Assembly,2010,SPARE,408.06,EA,2959.5,1,1207653.57
4500090093,00020,MRO-1002,Landing Gear Bushing,2010,MRO,489.97,EA,4677.94,1,2292050.26
4500090093,00030,MRO-1001,Hydraulic Pump Assembly,2010,MRO,298.86,EA,2138.93,1,639240.62
4500090094,00010,IT-3001,Ruggedized Laptop,1010,IT,16.75,EA,7586.68,1,127076.89
4500090094,00020,IT-3001,Ruggedized Laptop,1010,IT,10.45,EA,2523.27,1,26368.17
4500090095,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,163.2,HR,5304.57,1,865705.82
4500090095,00020,SPARE-5001,Turbine Blade Set,2010,SPARE,157.56,EA,1402.0,1,220899.12
4500090096,00010,SERV-6001,Ground Handling Labor Hr,1020,SERV,149.95,HR,7533.05,1,1129580.85
4500090096,00020,IT-3002,Network Switch 24-port,1020,IT,352.75,EA,5528.11,1,1950040.8
4500090096,00030,OFFC-4001,Printer Toner Cartridge,2010,OFFC,240.42,EA,4492.69,1,1080132.53
4500090097,00010,MRO-1001,Hydraulic Pump Assembly,1020,MRO,144.53,EA,5718.85,1,826545.39
4500090097,00020,SPARE-5002,Brake Disc Assembly,1010,SPARE,328.33,EA,5983.76,1,1964647.92
4500090097,00030,IT-3001,Ruggedized Laptop,2010,IT,414.15,EA,2183.64,1,904354.51
4500090098,00010,MRO-1001,Hydraulic Pump Assembly,1020,MRO,51.0,EA,2655.74,1,135442.74
4500090098,00020,MRO-1002,Landing Gear Bushing,2010,MRO,340.91,EA,1116.99,1,380793.06
4500090099,00010,OFFC-4001,Printer Toner Cartridge,1010,OFFC,143.42,EA,492.12,1,70579.85
4500090099,00020,SERV-6002,Cleaning Service Cycle,1010,SERV,116.88,EA,5914.72,1,691312.47
4500090099,00030,FUEL-2001,Jet A-1 Fuel,1010,FUEL,209.52,L,6704.09,1,1404640.94
4500090100,00010,OFFC-4001,Printer Toner Cartridge,2010,OFFC,143.0,EA,7913.01,1,1131560.43
4500090101,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,365.83,L,5193.32,1,1899872.26
4500090101,00020,FUEL-2001,Jet A-1 Fuel,1020,FUEL,8.03,L,2710.16,1,21762.58
4500090101,00030,SERV-6002,Cleaning Service Cycle,2010,SERV,337.53,EA,1561.43,1,527029.47
4500090102,00010,FUEL-2001,Jet A-1 Fuel,1010,FUEL,239.25,L,7487.89,1,1791477.68
4500090102,00020,IT-3002,Network Switch 24-port,1020,IT,192.4,EA,3584.95,1,689744.38
4500090103,00010,MRO-1001,Hydraulic Pump Assembly,1010,MRO,334.23,EA,3733.85,1,1247964.69
4500090103,00020,SPARE-5001,Turbine Blade Set,2010,SPARE,343.35,EA,7386.39,1,2536117.01
4500090104,00010,FUEL-2001,Jet A-1 Fuel,2010,FUEL,239.61,L,3650.73,1,874751.42
